header,taxon,protein,sp,description,vog,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,filt,viral.family
1863011.YP_009289221.1 RNA polymerase sigma factor for late transcription [Shigella phage SHSML-52-1],1863011,YP_009289221.1,Shigella phage SHSML-52-1, RNA polymerase sigma factor for late transcription,VOG05673,Shigella phage SHSML-52-1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Mosigvirus; Shigella virus SHSML521,NC_031090,NA,NA,NA,624,Shigella sonnei,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,1863011.YP_009289221.1,Myoviridae
1868169.YP_009283912.1 sigma factor involved in late transcription [Salmonella phage GG32],1868169,YP_009283912.1,Salmonella phage GG32, sigma factor involved in late transcription,VOG05673,Salmonella phage GG32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus GG32,NC_031045,NA,NA,NA,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,1868169.YP_009283912.1,Ackermannviridae
1868654.YP_009293294.1 sigma factor [Salmonella phage vB-SalM-PM10],1868654,YP_009293294.1,Salmonella phage vB-SalM-PM10, sigma factor,VOG05673,Salmonella phage vB-SalM-PM10,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus PM10,NC_031128,NA,NA,NA,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,1868654.YP_009293294.1,Ackermannviridae
1871313.YP_009285588.1 sigma factor [Citrobacter phage vB_CfrM_CfP1],1871313,YP_009285588.1,Citrobacter phage vB_CfrM_CfP1, sigma factor,VOG05673,Citrobacter phage vB_CfrM_CfP1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_031057,NA,NA,NA,544,Citrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NCBI Virus,NA,NA,1,1871313.YP_009285588.1,Myoviridae
1873954.YP_009831348.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_leE],1873954,YP_009831348.1,Cronobacter phage vB_CsaM_leE, sigma factor for late transcription,VOG05673,Cronobacter phage vB_CsaM_leE,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_048646,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,1873954.YP_009831348.1,Myoviridae
1880822.YP_009626287.1 T4-like phage RNA polymerase sigma factor for late transcription [Klebsiella phage PMBT1],1880822,YP_009626287.1,Klebsiella phage PMBT1, T4-like phage RNA polymerase sigma factor for late transcription,VOG05673,Klebsiella phage PMBT1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Slopekvirus; Klebsiella virus PMBT1,NC_042138,NA,NA,NA,570,Klebsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,1880822.YP_009626287.1,Myoviridae
1883365.YP_009321030.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM22],1883365,YP_009321030.1,Synechococcus phage S-CAM22, RNA polymerase sigma factor for late transcription,VOG05673,Synechococcus phage S-CAM22,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_031903,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,1883365.YP_009321030.1,Myoviridae
1883366.YP_009321412.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM3],1883366,YP_009321412.1,Synechococcus phage S-CAM3, RNA polymerase sigma factor for late transcription,VOG05673,Synechococcus phage S-CAM3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Charybdisvirus; Synechococcus virus SCAM3,NC_031906,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,1883366.YP_009321412.1,Myoviridae
1883367.YP_009320571.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM4],1883367,YP_009320571.1,Synechococcus phage S-CAM4, RNA polymerase sigma factor for late transcription,VOG05673,Synechococcus phage S-CAM4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_031900,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,1883367.YP_009320571.1,Myoviridae
1883368.YP_009323086.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM7],1883368,YP_009323086.1,Synechococcus phage S-CAM7, RNA polymerase sigma factor for late transcription,VOG05673,Synechococcus phage S-CAM7,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_031927,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,1883368.YP_009323086.1,Myoviridae
1883369.YP_009322553.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM9],1883369,YP_009322553.1,Synechococcus phage S-CAM9, RNA polymerase sigma factor for late transcription,VOG05673,Synechococcus phage S-CAM9,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Kanaloavirus; Synechococcus virus SCAM9,NC_031922,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,1883369.YP_009322553.1,Myoviridae
1885242.YP_009831068.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_leB],1885242,YP_009831068.1,Cronobacter phage vB_CsaM_leB, sigma factor for late transcription,VOG05673,Cronobacter phage vB_CsaM_leB,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_048645,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,1885242.YP_009831068.1,Myoviridae
1897742.YP_009875928.1 sigma factor involved in late transcription [Salmonella phage ST-W77],1897742,YP_009875928.1,Salmonella phage ST-W77, sigma factor involved in late transcription,VOG05673,Salmonella phage ST-W77,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; unclassified Kuttervirus,NC_049378,NA,NA,NA,590,Salmonella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NCBI Virus,NA,NA,1,1897742.YP_009875928.1,Ackermannviridae
1904491.YP_009597179.1 putative sigma factor for late transcription [Campylobacter phage vB_CjeM_Los1],1904491,YP_009597179.1,Campylobacter phage vB_CjeM_Los1, putative sigma factor for late transcription,VOG05673,Campylobacter phage vB_CjeM_Los1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Fletchervirus; Campylobacter virus Los1,NC_041896,NA,NA,NA,197,Campylobacter jejuni,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae; Campylobacter,NA,RefSeq,NA,NA,1,1904491.YP_009597179.1,Myoviridae
1914209.YP_002854400.1 RNA polymerase sigma factor [Escherichia virus RB14],1914209,YP_002854400.1,Escherichia virus RB14, RNA polymerase sigma factor,VOG05673,Escherichia virus RB14,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus,NC_012638,NA,NA,NA,561,Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,1914209.YP_002854400.1,Myoviridae
1958914.YP_009876541.1 sigma factor for late transcription [Salmonella phage BSP101],1958914,YP_009876541.1,Salmonella phage BSP101, sigma factor for late transcription,VOG05673,Salmonella phage BSP101,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; unclassified Kuttervirus,NC_049382,NA,NA,NA,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella,NA,NCBI Virus,NA,NA,2,1958914.YP_009876541.1,Ackermannviridae
1962671.YP_009599739.1 sigma factor for late transcription [Serratia phage BF],1962671,YP_009599739.1,Serratia phage BF, sigma factor for late transcription,VOG05673,Serratia phage BF,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eneladusvirus; Serratia virus BF,NC_041917,NA,NA,NA,615,Serratia marcescens,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae; Serratia,NA,RefSeq,NA,NA,1,1962671.YP_009599739.1,Myoviridae
1978922.YP_009832989.1 sigma factor for late transcription [Aeromonas phage phiA8-29],1978922,YP_009832989.1,Aeromonas phage phiA8-29, sigma factor for late transcription,VOG05673,Aeromonas phage phiA8-29,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; unclassified Ackermannviridae,NC_048660,NA,NA,NA,647,Aeromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,1978922.YP_009832989.1,Ackermannviridae
1981499.YP_009602009.1 sigma factor [Escherichia phage ECD7],1981499,YP_009602009.1,Escherichia phage ECD7, sigma factor,VOG05673,Escherichia phage ECD7,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Krischvirus; Escherichia virus ECD7,NC_041936,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1981499.YP_009602009.1,Myoviridae
1987159.YP_004957797.1 gp55 sigma factor for late transcription [Escherichia virus CBA120],1987159,YP_004957797.1,Escherichia virus CBA120, gp55 sigma factor for late transcription,VOG05673,Escherichia virus CBA120,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus,NC_016570,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,2,1987159.YP_004957797.1,Ackermannviridae
1987993.YP_004327474.1 Gp55 sigma factor for late transcription [Salmonella virus ViI],1987993,YP_004327474.1,Salmonella virus ViI, Gp55 sigma factor for late transcription,VOG05673,Salmonella virus ViI,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Viunavirus,NC_015296,NA,NA,NA,90370,Salmonella enterica subsp. enterica serovar Typhi,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,1987993.YP_004327474.1,Myoviridae
2005047.YP_009608337.1 RNA polymerase sigma factor [Escherichia phage ST0],2005047,YP_009608337.1,Escherichia phage ST0, RNA polymerase sigma factor,VOG05673,Escherichia phage ST0,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Mosigvirus; Escherichia virus ST0,NC_041990,NA,NA,NA,2072452,Escherichia coli H8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,2005047.YP_009608337.1,Myoviridae
2006941.YP_009609387.1 sigma factor for late transcription [Serratia phage CHI14],2006941,YP_009609387.1,Serratia phage CHI14, sigma factor for late transcription,VOG05673,Serratia phage CHI14,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Winklervirus; Serratia virus CHI14,NC_041996,NA,NA,NA,104623,Serratia sp. ATCC 39006,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae; Serratia,NA,RefSeq,NA,NA,1,2006941.YP_009609387.1,Myoviridae
2010329.YP_009609705.1 hypothetical protein [Acidovorax phage ACP17],2010329,YP_009609705.1,Acidovorax phage ACP17, hypothetical protein,VOG05673,Acidovorax phage ACP17,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Busanvirus; Acidovorax virus ACP17,NC_041997,NA,NA,NA,80869,Acidovorax citrulli,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae; Acidovorax,NA,RefSeq,NA,NA,1,2010329.YP_009609705.1,Myoviridae
2023996.YP_009791298.1 late transcription sigma factor [Synechococcus phage Bellamy],2023996,YP_009791298.1,Synechococcus phage Bellamy, late transcription sigma factor,VOG05673,Synechococcus phage Bellamy,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Bellamyvirus; Synechococcus virus Bellamy,NC_047838,NA,NA,NA,1129,Synechococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae,NA,RefSeq,NA,NA,1,2023996.YP_009791298.1,Myoviridae
2024208.YP_009834328.1 thioredoxin [Aeromonas phage AS-zj],2024208,YP_009834328.1,Aeromonas phage AS-zj, thioredoxin,VOG05673,Aeromonas phage AS-zj,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_048673,NA,NA,NA,29491,Aeromonas salmonicida subsp. salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas; Aeromonas salmonicida,NA,"NCBI Virus, RefSeq",NA,NA,1,2024208.YP_009834328.1,Myoviridae
2024264.YP_009612359.1 hypothetical protein [Agrobacterium phage Atu_ph07],2024264,YP_009612359.1,Agrobacterium phage Atu_ph07, hypothetical protein,VOG05673,Agrobacterium phage Atu_ph07,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Polybotosvirus; Agrobacterium virus Atuph07,NC_042013,NA,NA,NA,358,Agrobacterium tumefaciens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae; Agrobacterium; Agrobacterium tumefaciens complex,NA,RefSeq,NA,NA,1,2024264.YP_009612359.1,Myoviridae
2024308.YP_009618877.1 RNA polymerase sigma factor [Shigella phage Sf21],2024308,YP_009618877.1,Shigella phage Sf21, RNA polymerase sigma factor,VOG05673,Shigella phage Sf21,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Shigella virus Sf21,NC_042077,NA,NA,NA,623,Shigella flexneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,3,2024308.YP_009618877.1,Myoviridae
2024309.YP_009619273.1 RNA polymerase sigma factor [Shigella phage Sf24],2024309,YP_009619273.1,Shigella phage Sf24, RNA polymerase sigma factor,VOG05673,Shigella phage Sf24,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Shigella virus Sf24,NC_042078,NA,NA,NA,623,Shigella flexneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,2024309.YP_009619273.1,Myoviridae
2024320.YP_009614988.1 RNA polymerase sigma factor [Shigella phage Sf22],2024320,YP_009614988.1,Shigella phage Sf22, RNA polymerase sigma factor,VOG05673,Shigella phage Sf22,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Shigella virus Sf22,NC_042039,NA,NA,NA,621,Shigella boydii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,4,2024320.YP_009614988.1,Myoviridae
2025818.YP_009877705.1 sigma factor for late transcription [Salmonella phage SP1],2025818,YP_009877705.1,Salmonella phage SP1, sigma factor for late transcription,VOG05673,Salmonella phage SP1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; unclassified Kuttervirus,NC_049396,NA,NA,NA,605,Salmonella enterica subsp. enterica serovar Pullorum,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,"NCBI Virus, RefSeq",NA,NA,1,2025818.YP_009877705.1,Ackermannviridae
2026082.YP_009613141.1 RNA polymerase sigma factor [Aeromonas phage AS-gz],2026082,YP_009613141.1,Aeromonas phage AS-gz, RNA polymerase sigma factor,VOG05673,Aeromonas phage AS-gz,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tulanevirus; Aeromonas virus Asgz,NC_042019,NA,NA,NA,29491,Aeromonas salmonicida subsp. salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas; Aeromonas salmonicida,NA,RefSeq,NA,NA,1,2026082.YP_009613141.1,Myoviridae
2026113.YP_009834959.1 RNA polymerase sigma factor [Aeromonas phage AS-sw],2026113,YP_009834959.1,Aeromonas phage AS-sw, RNA polymerase sigma factor,VOG05673,Aeromonas phage AS-sw,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_048674,NA,NA,NA,29491,Aeromonas salmonicida subsp. salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas; Aeromonas salmonicida,NA,"NCBI Virus, RefSeq",NA,NA,1,2026113.YP_009834959.1,Myoviridae
2041413.YP_009615540.1 RNA polymerase sigma factor [Salmonella phage Melville],2041413,YP_009615540.1,Salmonella phage Melville, RNA polymerase sigma factor,VOG05673,Salmonella phage Melville,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Gelderlandvirus; Salmonella virus Melville,NC_042044,NA,NA,NA,108619,Salmonella enterica subsp. enterica serovar Newport,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,2041413.YP_009615540.1,Myoviridae
2052742.YP_009623847.1 hypothetical protein [Yersinia phage fHe-Yen9-04],2052742,YP_009623847.1,Yersinia phage fHe-Yen9-04, hypothetical protein,VOG05673,Yersinia phage fHe-Yen9-04,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eneladusvirus; Yersinia virus Yen9-04,NC_042116,NA,NA,NA,629,Yersinia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,NA,NA,NA,NA,1,2052742.YP_009623847.1,Myoviridae
2053671.YP_009879516.1 sigma factor [Escherichia phage FEC14],2053671,YP_009879516.1,Escherichia phage FEC14, sigma factor,VOG05673,Escherichia phage FEC14,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; unclassified Kuttervirus,NC_049427,NA,NA,NA,83334,Escherichia coli O157:H7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,"NCBI Virus, RefSeq",NA,NA,1,2053671.YP_009879516.1,Ackermannviridae
2054272.YP_009796235.1 transcription sigma factor [Klebsiella phage May],2054272,YP_009796235.1,Klebsiella phage May, transcription sigma factor,VOG05673,Klebsiella phage May,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Taipeivirus; Klebsiella virus May,NC_047900,NA,NA,NA,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,RefSeq,NA,NA,1,2054272.YP_009796235.1,Ackermannviridae
2054273.YP_009796457.1 transcription sigma factor [Klebsiella phage Menlow],2054273,YP_009796457.1,Klebsiella phage Menlow, transcription sigma factor,VOG05673,Klebsiella phage Menlow,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Taipeivirus; Klebsiella virus Menlow,NC_047901,NA,NA,NA,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,RefSeq,NA,NA,1,2054273.YP_009796457.1,Ackermannviridae
2054274.YP_009879742.1 transcription sigma factor [Salmonella phage Mutine],2054274,YP_009879742.1,Salmonella phage Mutine, transcription sigma factor,VOG05673,Salmonella phage Mutine,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; unclassified Kuttervirus,NC_049428,NA,NA,NA,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,"NCBI Virus, RefSeq",NA,NA,1,2054274.YP_009879742.1,Ackermannviridae
2070028.YP_009836761.1 RNA polymerase sigma factor for late transcription [Klebsiella phage vB_Kpn_F48],2070028,YP_009836761.1,Klebsiella phage vB_Kpn_F48, RNA polymerase sigma factor for late transcription,VOG05673,Klebsiella phage vB_Kpn_F48,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_048694,NA,NA,NA,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,"NCBI Virus, RefSeq",NA,NA,1,2070028.YP_009836761.1,Myoviridae
2070200.YP_009880179.1 putative sigma factor for late transcription [Escherichia phage EP75],2070200,YP_009880179.1,Escherichia phage EP75, putative sigma factor for late transcription,VOG05673,Escherichia phage EP75,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; unclassified Kuttervirus,NC_049433,NA,NA,NA,1884818,Escherichia sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq",NA,NA,1,2070200.YP_009880179.1,Ackermannviridae
2079262.YP_009798968.1 RNA polymerase sigma factor [Klebsiella virus vB_KpnM_KpS110],2079262,YP_009798968.1,Klebsiella virus vB_KpnM_KpS110, RNA polymerase sigma factor,VOG05673,Klebsiella virus vB_KpnM_KpS110,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Taipeivirus; Klebsiella virus KpS110,NC_047932,NA,NA,NA,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,RefSeq,NA,NA,1,2079262.YP_009798968.1,Ackermannviridae
2099338.YP_009837684.1 sigma factor [Erwinia phage vB_EamM-Bue1],2099338,YP_009837684.1,Erwinia phage vB_EamM-Bue1, sigma factor,VOG05673,Erwinia phage vB_EamM-Bue1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; unclassified Ackermannviridae,NC_048702,NA,NA,NA,552,Erwinia amylovora,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae; Erwinia,NA,"NCBI Virus, RefSeq",NA,NA,1,2099338.YP_009837684.1,Ackermannviridae
2137745.YP_009877076.1 Gp55 T4-like sigma factor involved in late transcription [Enterobacter phage EspM4VN],2137745,YP_009877076.1,Enterobacter phage EspM4VN, Gp55 T4-like sigma factor involved in late transcription,VOG05673,Enterobacter phage EspM4VN,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Aglimvirinae; Agtrevirus; unclassified Agtrevirus,NC_049384,NA,NA,NA,61645,Enterobacter asburiae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex,NA,"NCBI Virus, RefSeq",NA,NA,1,2137745.YP_009877076.1,Ackermannviridae
2169687.YP_008532104.1 sigma factor for late transcription [Klebsiella virus 0507KN21],2169687,YP_008532104.1,Klebsiella virus 0507KN21, sigma factor for late transcription,VOG05673,Klebsiella virus 0507KN21,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Taipeivirus,NC_022343,NA,NA,NA,570,Klebsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,2,2169687.YP_008532104.1,Ackermannviridae
2178927.YP_009889738.1 RNA polymerase sigma factor for late transcription [Acinetobacter phage AM101],2178927,YP_009889738.1,Acinetobacter phage AM101, RNA polymerase sigma factor for late transcription,VOG05673,Acinetobacter phage AM101,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_049511,NA,NA,NA,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex,NA,"NCBI Virus, RefSeq",NA,NA,1,2178927.YP_009889738.1,Myoviridae
