taxon,n.sig,header,protein,sp,description,vog,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,filt,viral.family,tigr.hit1,tigr.hit2,tigr.hit3,tigr.hit,sig.class,sig.group
1141136,2,1141136.YP_006987343.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_GAP32],YP_006987343.1,Cronobacter phage vB_CsaM_GAP32, sigma factor for late transcription,VOG05673,Cronobacter phage vB_CsaM_GAP32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Mimasvirus; Cronobacter virus GAP32,NC_019401,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,RefSeq,NA,NA,1,1141136.YP_006987343.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1141136,2,1141136.YP_006987604.1 subfamily RNA polymerase sigma-70 subunit [Cronobacter phage vB_CsaM_GAP32],YP_006987604.1,Cronobacter phage vB_CsaM_GAP32, subfamily RNA polymerase sigma-70 subunit,VOG00048,Cronobacter phage vB_CsaM_GAP32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Mimasvirus; Cronobacter virus GAP32,NC_019401,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,RefSeq,NA,NA,1,1141136.YP_006987604.1,Myoviridae,RpoD_Cterm,rpoS_proteo,Sig70-cyanoRpoD,RpoD_Cterm,primary,sig70-1
1141137,1,1141137.YP_006987691.1 RNA polymerase ECF sigma factor [Cronobacter phage vB_CsaP_GAP52],YP_006987691.1,Cronobacter phage vB_CsaP_GAP52, RNA polymerase ECF sigma factor,VOG00048,Cronobacter phage vB_CsaP_GAP52,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_019402,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,1141137.YP_006987691.1,Podoviridae,sigma70-ECF,SigM_subfam,Sig70_bacteroi1,SigM_subfam,ECF,sig70-4
1141138,1,1141138.YP_006986326.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_GAP161],YP_006986326.1,Cronobacter phage vB_CsaM_GAP161, sigma factor for late transcription,VOG05673,Cronobacter phage vB_CsaM_GAP161,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_019398,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,1141138.YP_006986326.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1141141,1,1141141.YP_006986618.1 sigma factor recognition late T4 promoter [Escherichia phage vB_EcoM_ACG-C40],YP_006986618.1,Escherichia phage vB_EcoM_ACG-C40, sigma factor recognition late T4 promoter,VOG05673,Escherichia phage vB_EcoM_ACG-C40,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus C40,NC_019399,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1141141.YP_006986618.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1147094,2,1147094.YP_007007237.1 RNA polymerase sigma factor [Klebsiella phage vB_KleM_RaK2],YP_007007237.1,Klebsiella phage vB_KleM_RaK2, RNA polymerase sigma factor,VOG05673,Klebsiella phage vB_KleM_RaK2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Alcyoneusvirus; Klebsiella virus RaK2,NC_019526,NA,NA,NA,576,Klebsiella sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,RefSeq,NA,NA,1,1147094.YP_007007237.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1147094,2,1147094.YP_007007399.1 putative RNA polymerase sigma factor [Klebsiella phage vB_KleM_RaK2],YP_007007399.1,Klebsiella phage vB_KleM_RaK2, putative RNA polymerase sigma factor,VOG00048,Klebsiella phage vB_KleM_RaK2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Alcyoneusvirus; Klebsiella virus RaK2,NC_019526,NA,NA,NA,576,Klebsiella sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,RefSeq,NA,NA,1,1147094.YP_007007399.1,Myoviridae,rpoS_proteo,Sig70-cyanoRpoD,RpoD_Cterm,rpoS_proteo,other,sig70-2
1161935,1,1161935.YP_007010532.1 RNA polymerase sigma factor [Salinivibrio phage CW02],YP_007010532.1,Salinivibrio phage CW02, RNA polymerase sigma factor,VOG00048,Salinivibrio phage CW02,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_019540,NA,NA,NA,51367,Salinivibrio costicola,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae; Salinivibrio,NA,"NCBI Virus, RefSeq",NA,NA,1,1161935.YP_007010532.1,Podoviridae,sigma70-ECF,SigW_bacill,Sig70_bacteroi1,SigW_bacill,ECF,sig70-4
1168744,1,1168744.YP_007676802.1 putative sigma factor [Listeria phage vB_LmoM_AG20],YP_007676802.1,Listeria phage vB_LmoM_AG20, putative sigma factor,VOG00048,Listeria phage vB_LmoM_AG20,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Jasinkavirinae; Pecentumvirus; Listeria virus AG20,NC_020871,NA,NA,NA,1639,Listeria monocytogenes,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Listeria,NA,RefSeq,NA,NA,1,1168744.YP_007676802.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1173764,1,1173764.YP_009042951.1 hypothetical protein [Listeria phage LP-048],YP_009042951.1,Listeria phage LP-048, hypothetical protein,VOG00048,Listeria phage LP-048,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Jasinkavirinae; Pecentumvirus; Listeria virus LP048,NC_024359,NA,NA,NA,1639,Listeria monocytogenes,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Listeria,24837381,"Literature, RefSeq",NA,NA,1,1173764.YP_009042951.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1173766,1,1173766.YP_008240123.1 hypothetical protein [Listeria phage LP-125],YP_008240123.1,Listeria phage LP-125, hypothetical protein,VOG00048,Listeria phage LP-125,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Jasinkavirinae; Pecentumvirus; Listeria virus LP083-2,NC_021781,NA,NA,NA,1639,Listeria monocytogenes,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Listeria,24837381,Literature,NA,NA,1,1173766.YP_008240123.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1183239,1,1183239.YP_006383695.1 hypothetical protein [Salisaeta icosahedral phage 1 (SSIP-1)],YP_006383695.1,Salisaeta icosahedral phage 1 (SSIP-1), hypothetical protein,VOG00048,Salisaeta icosahedral phage 1,Viruses; unclassified viruses; unclassified DNA viruses; unclassified dsDNA phages,NC_017983,NA,NA,NA,1089709,Salisaeta sp. SP9-1,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae; Salisaeta,NA,"NCBI Virus, RefSeq",NA,NA,1,1183239.YP_006383695.1,unclassified (SSIP-1),rpoS_proteo,Sig70-cyanoRpoD,RpoD_Cterm,rpoS_proteo,other,sig70-2
1190451,1,1190451.YP_007005152.1 putative sigma factor for T4-like late transcription (T4 gp55-like) [Campylobacter virus CP21],YP_007005152.1,Campylobacter virus CP21, putative sigma factor for T4-like late transcription (T4 gp55-like),VOG05673,Campylobacter virus CP21,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Firehammervirus,NC_019507,NA,NA,NA,205,Campylobacter sp.,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae; Campylobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,1190451.YP_007005152.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
1194641,1,1194641.YP_006488705.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage BtCS33],YP_006488705.1,Bacillus phage BtCS33, sigma-70 family RNA polymerase sigma factor,VOG00048,Bacillus phage BtCS33,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_018085,NA,NA,NA,1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,"NCBI Virus, RefSeq",NA,NA,1,1194641.YP_006488705.1,Siphoviridae,sigma70-ECF,FliA_WhiG,SigBFG,FliA_WhiG,stationary,sig70-3-fl
1195072,3,1195072.YP_007677062.1 putative sigma factor [Bacillus phage vB_BceM_Bc431v3],YP_007677062.1,Bacillus phage vB_BceM_Bc431v3, putative sigma factor,VOG00048,Bacillus phage vB_BceM_Bc431v3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Caeruleovirus; Bacillus virus Bc431,NC_020873,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1195072.YP_007677062.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1195072,3,"1195072.YP_007677007.1 RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [Bacillus phage vB_BceM_Bc431v3]",YP_007677007.1,Bacillus phage vB_BceM_Bc431v3," RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",VOG00048,Bacillus phage vB_BceM_Bc431v3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Caeruleovirus; Bacillus virus Bc431,NC_020873,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1195072.YP_007677007.1,Herelleviridae,SigBFG,spore_sigF,sigma70-ECF,spore_sigF,sporulation,sig70-3-spo
1195072,3,1195072.YP_007677008.1 putative RNA polymerase sigma factor G [Bacillus phage vB_BceM_Bc431v3],YP_007677008.1,Bacillus phage vB_BceM_Bc431v3, putative RNA polymerase sigma factor G,VOG00048,Bacillus phage vB_BceM_Bc431v3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Caeruleovirus; Bacillus virus Bc431,NC_020873,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1195072.YP_007677008.1,Herelleviridae,SigBFG,spore_sigF,spore_sigG,spore_sigF,sporulation,sig70-3-spo
1198013,1,1198013.YP_007010738.1 sigma factor [Aeromonas phage Aes508],YP_007010738.1,Aeromonas phage Aes508, sigma factor,VOG05673,Aeromonas phage Aes508,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tulanevirus; Aeromonas virus Aes508,NC_019543,NA,NA,NA,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,RefSeq,NA,NA,1,1198013.YP_007010738.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1198014,1,1198014.YP_007677765.1 RNA polymerase sigma factor [Aeromonas phage Aes012],YP_007677765.1,Aeromonas phage Aes012, RNA polymerase sigma factor,VOG05673,Aeromonas phage Aes012,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tulanevirus; Aeromonas virus Aes12,NC_020879,NA,NA,NA,647,Aeromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,RefSeq,NA,NA,1,1198014.YP_007677765.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1200862,1,1200862.YP_009275849.1 sigma factor [Staphylococcus phage Stau2],YP_009275849.1,Staphylococcus phage Stau2, sigma factor,VOG00048,Staphylococcus phage Stau2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Silviavirus; Staphylococcus virus Stau2,NC_030933,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,RefSeq,NA,NA,1,1200862.YP_009275849.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1204516,1,1204516.YP_007010288.1 RNA polymerase sigma factor [Aeromonas phage CC2],YP_007010288.1,Aeromonas phage CC2, RNA polymerase sigma factor,VOG05673,Aeromonas phage CC2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_019538,NA,NA,NA,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,1204516.YP_007010288.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
1204522,1,1204522.YP_009102539.1 RNA polymerase sigma factor [Escherichia phage ECML-134],YP_009102539.1,Escherichia phage ECML-134, RNA polymerase sigma factor,VOG05673,Escherichia phage ECML-134,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus ECML134,NC_025449,NA,NA,NA,83334,Escherichia coli O157:H7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,1204522.YP_009102539.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1204523,1,1204523.YP_009101582.1 hypothetical protein [Escherichia phage ECML-4],YP_009101582.1,Escherichia phage ECML-4, hypothetical protein,VOG05673,Escherichia phage ECML-4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Viunavirus; Escherichia virus ECML4,NC_025446,NA,NA,NA,83334,Escherichia coli O157:H7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,1204523.YP_009101582.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1204528,1,1204528.YP_007236163.1 hypothetical protein [Salmonella phage SKML-39],YP_007236163.1,Salmonella phage SKML-39, hypothetical protein,VOG05673,Salmonella phage SKML-39,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Aglimvirinae; Agtrevirus; Salmonella virus SKML39,NC_019910,NA,NA,NA,590,Salmonella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,24228226,Literature,NA,NA,1,1204528.YP_007236163.1,Ackermannviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
1204530,1,1204530.YP_009617685.1 hypothetical protein [Salmonella phage STML-13-1],YP_009617685.1,Salmonella phage STML-13-1, hypothetical protein,VOG05673,Salmonella phage STML-13-1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Viunavirus; Salmonella virus STML131,NC_042061,NA,NA,NA,590,Salmonella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,1204530.YP_009617685.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1204531,1,1204531.YP_009148048.1 RNA polymerase sigma factor for late transcription [Salmonella phage STML-198],YP_009148048.1,Salmonella phage STML-198, RNA polymerase sigma factor for late transcription,VOG05673,Salmonella phage STML-198,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Gelderlandvirus; Salmonella virus STML198,NC_027344,NA,NA,NA,590,Salmonella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,1204531.YP_009148048.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
1204533,3,1204533.YP_007349329.1 hypothetical protein [Bacillus phage phiAGATE],YP_007349329.1,Bacillus phage phiAGATE, hypothetical protein,VOG00048,Bacillus phage phiAGATE,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Agatevirus; Bacillus virus Agate,NC_020081,NA,NA,NA,1408,Bacillus pumilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1204533.YP_007349329.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1204533,3,1204533.YP_007349306.1 putative RNA polymerase sigma factor SigF 2 [Bacillus phage phiAGATE],YP_007349306.1,Bacillus phage phiAGATE, putative RNA polymerase sigma factor SigF 2,VOG00048,Bacillus phage phiAGATE,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Agatevirus; Bacillus virus Agate,NC_020081,NA,NA,NA,1408,Bacillus pumilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1204533.YP_007349306.1,Herelleviridae,sigma70-ECF,spore_sigF,SigBFG,spore_sigF,sporulation,sig70-3-spo
1204533,3,1204533.YP_007349307.1 putative RNA polymerase sigma factor SigF 1 [Bacillus phage phiAGATE],YP_007349307.1,Bacillus phage phiAGATE, putative RNA polymerase sigma factor SigF 1,VOG00048,Bacillus phage phiAGATE,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Agatevirus; Bacillus virus Agate,NC_020081,NA,NA,NA,1408,Bacillus pumilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1204533.YP_007349307.1,Herelleviridae,SigBFG,spore_sigG,spore_sigF,spore_sigG,sporulation,sig70-3-spo
1204543,1,1204543.YP_007005555.1 hypothetical protein [Staphylococcus virus SA11],YP_007005555.1,Staphylococcus virus SA11, hypothetical protein,VOG00048,Staphylococcus virus SA11,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Silviavirus,NC_019511,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,1204543.YP_007005555.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1206558,1,1206558.YP_007235901.1 T4-like phage RNA polymerase sigma factor for late transcription [Yersinia phage phiR1-RT],YP_007235901.1,Yersinia phage phiR1-RT, T4-like phage RNA polymerase sigma factor for late transcription,VOG05673,Yersinia phage phiR1-RT,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tegunavirus; Yersinia virus R1RT,NC_019909,NA,NA,NA,630,Yersinia enterocolitica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae; Yersinia,NA,RefSeq,NA,NA,1,1206558.YP_007235901.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1206560,1,1206560.YP_009149307.1 RNA polymerase sigma factor [Yersinia phage phiD1],YP_009149307.1,Yersinia phage phiD1, RNA polymerase sigma factor,VOG05673,Yersinia phage phiD1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Yersinia virus D1,NC_027353,NA,NA,NA,632,Yersinia pestis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex,NA,RefSeq,NA,NA,1,1206560.YP_009149307.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1211280,1,1211280.YP_009217495.1 T4-like phage RNA polymerase sigma factor forlate transcription [Stenotrophomonas phage IME13],YP_009217495.1,Stenotrophomonas phage IME13, T4-like phage RNA polymerase sigma factor forlate transcription,VOG05673,Stenotrophomonas phage IME13,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tulanevirus; Stenotrophomonas virus IME13,NC_029000,NA,NA,NA,40324,Stenotrophomonas maltophilia,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group,NA,RefSeq,NA,NA,1,1211280.YP_009217495.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1222338,1,1222338.YP_009118726.1 Putative sigma factor for T4 late transcription [Enterobacteria phage GEC-3S],YP_009118726.1,Enterobacteria phage GEC-3S, Putative sigma factor for T4 late transcription,VOG05673,Enterobacteria phage GEC-3S,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Krischvirus; Escherichia virus GEC3S,NC_025425,NA,NA,NA,1038927,Escherichia coli O104:H4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,1222338.YP_009118726.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1229752,1,1229752.YP_006908182.1 sigma factor for late transcription [Campylobacter phage CP30A],YP_006908182.1,Campylobacter phage CP30A, sigma factor for late transcription,VOG05673,Campylobacter phage CP30A,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Fletchervirus; Campylobacter virus CP30A,NC_018861,NA,NA,NA,32022,Campylobacter jejuni subsp. jejuni,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter jejuni,NA,RefSeq,NA,NA,2,1229752.YP_006908182.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1235660,1,1235660.YP_007677573.1 sigma factor [Staphylococcus phage vB_SauM_Romulus],YP_007677573.1,Staphylococcus phage vB_SauM_Romulus, sigma factor,VOG00048,Staphylococcus phage vB_SauM_Romulus,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Silviavirus; Staphylococcus virus Remus,NC_020877,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,RefSeq,NA,NA,1,1235660.YP_007677573.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1237159,1,1237159.YP_006906108.1 RNA polymerase ECF sigma factor [Escherichia phage NJ01],YP_006906108.1,Escherichia phage NJ01, RNA polymerase ECF sigma factor,VOG00048,Escherichia phage NJ01,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Kuravirus; Escherichia virus NJ01,NC_018835,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1237159.YP_006906108.1,Podoviridae,sigma70-ECF,Sig70_bacteroi1,SigE-fam_strep,Sig70_bacteroi1,other,sig70-lkl4
1239383,1,1239383.YP_007112938.1 sigma factor [Staphylococcus phage JD007],YP_007112938.1,Staphylococcus phage JD007, sigma factor,VOG00048,Staphylococcus phage JD007,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; Staphylococcus virus JD7,NC_019726,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,RefSeq,NA,NA,1,1239383.YP_007112938.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1262513,1,1262513.YP_007349087.1 sigma factor for late transcription [Serratia phage phiMAM1],YP_007349087.1,Serratia phage phiMAM1, sigma factor for late transcription,VOG05673,Serratia phage phiMAM1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Serratia virus MAM1,NC_020083,NA,NA,NA,616,Serratia sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae; Serratia,NA,RefSeq,NA,NA,1,1262513.YP_007349087.1,Ackermannviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
1262539,1,1262539.YP_009006358.1 RNA polymerase sigma factor [Vibrio phage VH7D],YP_009006358.1,Vibrio phage VH7D, RNA polymerase sigma factor,VOG05673,Vibrio phage VH7D,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Schizotequatrovirus; unclassified Schizotequatrovirus,NC_023568,NA,NA,NA,669,Vibrio harveyi,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae; Vibrio; Vibrio harveyi group,NA,"NCBI Virus, RefSeq",NA,NA,1,1262539.YP_009006358.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
1273738,2,1273738.YP_009150844.1 RNA polymerase sigma factor [Escherichia phage PBECO4],YP_009150844.1,Escherichia phage PBECO4, RNA polymerase sigma factor,VOG05673,Escherichia phage PBECO4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Asteriusvirus; Escherichia virus PBECO4,NC_027364,NA,NA,NA,1045010,Escherichia coli O157,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,1273738.YP_009150844.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
