seqname,locus_tag.d6,start,end,strand,locus_tag.168,gene,product,category1,category2,sporulation
NZ_CP015975.1,A8O17_RS03650,703242,703679,+,BSU_06850,cotK,spore inner coat protein,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS03655,703794,704378,+,BSU_06860,yezE,putative transcriptional regulator (TetR family),Information processing,Regulation of gene expression,FALSE
NZ_CP015975.1,A8O17_RS03660,704457,704900,+,BSU_06870,yesE,conserved hypothetical protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03665,704897,705757,+,BSU_06880,yesF,putative oxidoreductase,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03670,705884,706132,+,BSU_06890,cotJA,component of the inner spore coat,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS03675,706116,706379,+,BSU_06900,cotJB,component of the inner spore coat,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS03680,706394,706963,+,BSU_06910,cotJC,enzyme component of the inner spore coat,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS03685,707088,707630,+,BSU_06920,yesJ,putative acetyltransferase,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS03690,707653,707955,+,BSU_06930,yesK,putative membrane component,Lifestyles;Groups of genes,Sporulation;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS03695,708070,708699,+,BSU_06940,yesL,putative permease or sensor of a three component system for pectin and rhamnogalacturonan transport and degradation,Groups of genes;Groups of genes,Membrane proteins;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03700,708696,710429,+,BSU_06950,yesM,two-component sensor histidine kinase [YesN],Information processing;Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Regulation of gene expression;Membrane proteins;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS03705,710429,711535,+,BSU_06960,yesN,two-component response regulator [YesM],Information processing;Groups of genes;Groups of genes,Regulation of gene expression;Phosphoproteins;Efp-dependent proteins,FALSE
NZ_CP015975.1,A8O17_RS03710,711639,712922,+,BSU_06970,yesO,pectin degradation byproducts (rhamnose oligosaccharides)-binding lipoprotein,Cellular processes;Metabolism;Groups of genes,Transporters;Carbon metabolism;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03715,712919,713848,+,BSU_06980,rhgP,rhamnogalacturonan permease,Cellular processes;Metabolism;Groups of genes,Transporters;Carbon metabolism;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03720,713852,714742,+,BSU_06990,rhgQ,rhamnogalacturonan permease,Cellular processes;Metabolism;Groups of genes,Transporters;Carbon metabolism;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03725,714758,715792,+,BSU_07000,rhgH,rhamnogalacturonan hydrolase,Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS03730,715815,718100,+,BSU_07010,rhgR,transcriptional regulator (AraC/XylS family),Metabolism;Information processing;Groups of genes,Carbon metabolism;Regulation of gene expression;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03735,718114,718812,+,BSU_07020,rhgT,rhamnogalacturonan acetylesterase,Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS03740,718805,719467,+,BSU_07030,yesU,putative enzyme,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03745,719464,720090,+,BSU_07040,yesV,putative integral inner membrane component,Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS03750,720211,722073,+,BSU_07050,rhgW,rhamnogalacturonan endolyase,Metabolism,Carbon metabolism,TRUE
NZ_CP015975.1,A8O17_RS03755,722119,723957,+,BSU_07060,rhgX,rhamnogalacturonan exolyase,Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS03760,724115,724768,+,BSU_07070,yesY,rhamnogalacturonan acetylesterase,Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS03765,724776,726767,+,BSU_07080,rhgZ,beta-galacturonidase,Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS03770,726811,729384,+,BSU_07090,yetA,putative enzyme,Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS03775,729506,731014,+,BSU_07100,lplA,lipoprotein transporter binding protein for alpha-galacturonides,Cellular processes;Groups of genes,Transporters;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03780,731069,732025,+,BSU_07110,lplB,ABC transporter (permease) for alpha-galacturonides,Cellular processes;Groups of genes,Transporters;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03785,732039,732926,+,BSU_07120,lplC,ABC transporter (permease) for alpha-galacturonides,Cellular processes;Groups of genes,Transporters;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03790,732935,734275,+,BSU_07130,lplD,alpha-galacturonidase,Metabolism;Lifestyles,Carbon metabolism;Sporulation,TRUE
NZ_CP015975.1,A8O17_RS03795,734358,735053,+,BSU_07140,yetF,conserved membrane protein,Lifestyles;Groups of genes,Sporulation;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS03800,735090,735416,-,BSU_07150,hmoA,heme-degrading monooxygenase,Cellular processes;Metabolism,Homeostasis;Additional metabolic pathways,FALSE
NZ_CP015975.1,A8O17_RS03805,735520,735882,-,BSU_07160,yetH,putative lyase/dioxygenase,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03810,735974,736468,-,BSU_07170,yetI,putative paralog of RsbR%3B N-terminal part of YetI,Information processing;Groups of genes,Regulation of gene expression;Pseudogenes,FALSE
NZ_CP015975.1,A8O17_RS03815,736666,737537,+,BSU_07180,yetI,putative paralog of RsbR%3B C-terminal part of YetI,Information processing;Groups of genes;Groups of genes;Groups of genes,Regulation of gene expression;Phosphoproteins;Phosphoproteins;Pseudogenes,FALSE
NZ_CP015975.1,A8O17_RS03820,737692,737859,+,BSU_07190,yezD,conserved hypothetical protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03825,737969,738613,+,BSU_07200,calJ,pH-sensitive calcium-leak permease (di-aspartyl pH sensor),Cellular processes;Groups of genes,Homeostasis;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03830,738613,739605,+,BSU_07210,yetK,putative efflux transporter,Groups of genes;Groups of genes,Membrane proteins;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03835,739629,740132,-,BSU_07220,flvL,transcriptional regulator (FlvL-flavonoids),Information processing;Lifestyles,Regulation of gene expression;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS03840,740295,741404,+,BSU_07230,flvM,putative flavin-dependent hydroxylase/monooxygenase acting on salicylate derivatives,Lifestyles,Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS03845,741439,742509,-,BSU_07240,yetN,conserved hypothetical protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03850,742659,745844,+,BSU_07250,cypD,bifunctional P-450/NADPH-P450 reductase 1,Metabolism;Metabolism;Lifestyles,Electron transport and ATP synthesis;Lipid metabolism;Sporulation,TRUE
NZ_CP015975.1,A8O17_RS03855,746291,748210,+,BSU_07260,ltaSA,exported glycerol phosphate lipoteichoic acid synthetase and anion-binding protein,Cellular processes;Metabolism;Lifestyles;Groups of genes;Groups of genes,Cell envelope and cell division;Additional metabolic pathways;Coping with stress;Phosphoproteins;Secreted proteins,FALSE
NZ_CP015975.1,A8O17_RS03860,748446,749210,+,BSU_07270,spmH,glucose-1-phosphate cytidylyltransferase (sporulation),Lifestyles;Groups of genes,Sporulation;Poorly characterized/ putative enzymes,TRUE
NZ_CP015975.1,A8O17_RS03865,749217,750185,+,BSU_07280,spmG,putative CDP-sugar-dehydratase/epimerase,Lifestyles;Groups of genes,Sporulation;Poorly characterized/ putative enzymes,TRUE
NZ_CP015975.1,A8O17_RS03870,750209,751120,+,BSU_07290,yfnF,putative glycosyltransferase,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS03875,751149,752327,+,BSU_07300,yfnE,putative glycosyltransferase (complex carbohydrate synthase),Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS03880,752328,753263,+,BSU_07310,yfnD,putative glycosyltransferase (complex carbohydrate synthase),Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS03885,753294,754523,-,BSU_07320,yfnC,putative efflux transporter,Cellular processes;Lifestyles;Groups of genes,Transporters;Coping with stress;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03890,754634,755341,-,BSU_07330,pynN,pyrimidine nucleotide phosphatase (promiscuous),Groups of genes,Poorly characterized/ putative enzymes,FALSE
NZ_CP015975.1,A8O17_RS03895,755433,756818,-,BSU_07340,mtrA,methylthioribose permease,Cellular processes;Metabolism;Groups of genes,Transporters;Additional metabolic pathways;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03900,757068,758525,+,BSU_07350,vdhT,vanillin dehydrogenase,Groups of genes,Poorly characterized/ putative enzymes,FALSE
NZ_CP015975.1,A8O17_RS03905,758539,759399,+,BSU_07360,yfmS,chemotaxis sensory transducer (sensed target unknown),Lifestyles,Exponential and early post-exponential lifestyles,FALSE
NZ_CP015975.1,A8O17_RS03910,759534,761423,+,BSU_07370,ettA,putative energy-dependent translational throttle A,Cellular processes,Transporters,FALSE
NZ_CP015975.1,A8O17_RS03915,761546,761992,+,BSU_07380,yfmQ,conserved hypothetical protein,Groups of genes;Groups of genes,Membrane proteins;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03920,762117,762539,+,BSU_07390,copP,transcriptional regulator (MerR family) of metal (copper) efflux transporter expression,Information processing;Lifestyles,Regulation of gene expression;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS03925,762605,763795,+,BSU_07400,copO,metal (copper) efflux transporter,Cellular processes;Lifestyles;Groups of genes,Transporters;Coping with stress;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS20380,764086,764241,+,BSU_07410,yfmN,hypothetical protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03940,764361,765917,-,BSU_07420,ettM,putative energy-sensing inhibitor of translation,Cellular processes,Transporters,FALSE
NZ_CP015975.1,A8O17_RS03945,766090,767220,+,BSU_07430,yfmL,putative ATP-dependent RNA helicase,Information processing;Information processing,"RNA synthesis and degradation;Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS03950,767288,767734,+,BSU_07440,yfmK,putative acetyltransferase,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS03955,767787,768806,-,BSU_07450,yfmJ,putative oxidoreductase,Groups of genes,Poorly characterized/ putative enzymes,FALSE
NZ_CP015975.1,A8O17_RS03970,769288,770508,-,BSU_07460,yfmI,putative efflux transporter,Cellular processes;Lifestyles;Groups of genes,Transporters;Coping with stress;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03975,770844,772307,+,BSU_07480,yfmG,putative enzyme,Groups of genes;Groups of genes,Phosphoproteins;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS03980,772880,773680,-,BSU_07490,fecF,iron-dicitrate ABC transporter (ATP-binding protein),Cellular processes;Cellular processes;Metabolism;Groups of genes,Transporters;Homeostasis;Additional metabolic pathways;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03985,773693,774694,-,BSU_07500,fecE,iron-dicitrate ABC transporter (permease),Cellular processes;Cellular processes;Metabolism;Groups of genes,Transporters;Homeostasis;Additional metabolic pathways;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03990,774691,775692,-,BSU_07510,fecD,iron-dicitrate ABC transporter (permease),Cellular processes;Cellular processes;Metabolism;Groups of genes,Transporters;Homeostasis;Additional metabolic pathways;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS03995,775764,776711,-,BSU_07520,fecC,iron-dicitrate ABC transporter (binding lipoprotein),Cellular processes;Cellular processes;Metabolism;Groups of genes;Groups of genes,Transporters;Homeostasis;Additional metabolic pathways;Membrane proteins;Secreted proteins,FALSE
NZ_CP015975.1,A8O17_RS04000,776820,777188,-,BSU_07530,yfmB,conserved hypothetical protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04005,777432,777779,+,BSU_07550,yflT,heat stress induced protein,Lifestyles,Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS04010,777970,779232,+,BSU_07560,pelA,pectate lyase,Metabolism;Groups of genes,Carbon metabolism;Secreted proteins,FALSE
NZ_CP015975.1,A8O17_RS04015,779359,780795,+,BSU_07570,maeS,malate (2-oxoglutarate) transporter,Cellular processes;Metabolism;Groups of genes,Transporters;Carbon metabolism;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04020,780922,782550,+,BSU_07580,citS,two-component sensor histidine kinase,Metabolism;Information processing;Information processing;Groups of genes;Groups of genes,"Carbon metabolism;Protein synthesis, modification and degradation;Regulation of gene expression;Membrane proteins;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS04025,782522,783202,+,BSU_07590,citT,two-component response regulator,Metabolism;Information processing;Groups of genes,Carbon metabolism;Regulation of gene expression;Phosphoproteins,FALSE
NZ_CP015975.1,A8O17_RS04030,783205,784164,+,BSU_07600,yflP,putative tricarboxylate transporter component,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04040,784360,785661,+,BSU_07610,citM,transporter of divalent metal ions/citrate complexes,Cellular processes;Cellular processes;Metabolism;Groups of genes,Transporters;Homeostasis;Carbon metabolism;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS04045,785717,786511,+,BSU_07620,yflN,putative metal-dependent hydrolase,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS04050,786630,787721,+,BSU_07630,nosA,nitric-oxide synthase,Metabolism;Lifestyles,Additional metabolic pathways;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS04055,787712,787987,-,BSU_07640,acyP,acylphosphatase,Groups of genes,Poorly characterized/ putative enzymes,FALSE
NZ_CP015975.1,A8O17_RS04060,788054,788719,+,BSU_07650,yflK,putative sulfur carrier,Metabolism,Detoxification reactions,FALSE
NZ_CP015975.1,A8O17_RS04065,788760,788897,-,BSU_07660,yflJ,conserved hypothetical protein,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS04070,789054,789209,-,BSU_07670,yflI,conserved membrane protein,Groups of genes;Groups of genes,Membrane proteins;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04075,789316,789630,-,BSU_07680,yflH,putative enzyme,Lifestyles,Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS04080,789712,790461,-,BSU_07690,mapB,methionine aminopeptidase B,Information processing;Information processing,"Protein synthesis, modification and degradation;Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS04085,790633,791991,+,BSU_07700,nagP,phosphotransferase system (PTS) N-acetylglucosamine-specific enzyme IICB component,Cellular processes;Metabolism;Metabolism;Groups of genes;Groups of genes,Transporters;Carbon metabolism;Amino acid/ nitrogen metabolism;Membrane proteins;Phosphoproteins,FALSE
NZ_CP015975.1,A8O17_RS04090,792024,793973,-,BSU_07710,ltaSB,enzyme responsible for polyglycerolphosphate LTA synthesis,Cellular processes;Metabolism;Groups of genes;Groups of genes;Groups of genes,Cell envelope and cell division;Additional metabolic pathways;Membrane proteins;Phosphoproteins;Secreted proteins,FALSE
NZ_CP015975.1,A8O17_RS20390,794074,794211,+,BSU_07720,yflD,hypothetical protein,Lifestyles;Groups of genes,Coping with stress;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04095,794230,794622,+,BSU_07735,yflB,conserved hypothetical protein,Lifestyles;Groups of genes,Coping with stress;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04100,794747,796162,+,BSU_07750,yflA,putative aminoacid transporter,Cellular processes;Lifestyles;Lifestyles;Groups of genes,Transporters;Coping with stress;Coping with stress;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04105,796159,797235,-,BSU_07760,yfkT,putative spore germination integral inner membrane transporter,Lifestyles;Lifestyles;Groups of genes,Sporulation;Coping with stress;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS04110,797259,797459,-,BSU_07770,yfkS,putative spore germination D protein,Lifestyles;Lifestyles;Lifestyles;Groups of genes,Sporulation;Coping with stress;Coping with stress;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS04115,797475,798629,-,BSU_07780,yfkR,putative spore germination protein,Lifestyles;Groups of genes,Sporulation;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS04120,798610,800151,-,BSU_07790,yfkQ,putative spore germination protein,Lifestyles;Groups of genes,Sporulation;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS04125,800344,801756,+,BSU_07800,treP,phosphotransferase system (PTS) trehalose-specific enzyme IIBC component,Cellular processes;Metabolism;Groups of genes;Groups of genes,Transporters;Carbon metabolism;Membrane proteins;Phosphoproteins,FALSE
NZ_CP015975.1,A8O17_RS04130,801827,803512,+,BSU_07810,treA,trehalose-6-phosphate hydrolase,Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS04135,803533,804249,+,BSU_07820,treR,transcriptional regulator (TreR-trehalose),Metabolism;Information processing,Carbon metabolism;Regulation of gene expression,FALSE
NZ_CP015975.1,A8O17_RS04140,804389,805054,+,BSU_07830,hypO,NAD(P)H-flavin oxidoreductase (nitroreductase),Metabolism;Lifestyles,Electron transport and ATP synthesis;Coping with stress,TRUE
NZ_CP015975.1,A8O17_RS04145,805091,809479,-,BSU_07840,yfkN,exported 2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase%2C 2' (or 3') nucleotidase and 5' nucleotidase,Metabolism;Groups of genes,Nucleotide metabolism;Secreted proteins,FALSE
NZ_CP015975.1,A8O17_RS04150,809722,810240,+,BSU_07850,sufLB,general stress protein 18%3B deglycase,Lifestyles;Lifestyles,Coping with stress;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS04155,810280,811470,-,BSU_07860,yfkL,efflux transporter,Cellular processes;Lifestyles;Groups of genes,Transporters;Coping with stress;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04160,811563,811778,-,BSU_07870,yfkK,conserved hypothetical protein,Groups of genes;Groups of genes,Phosphoproteins;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04165,811981,812451,+,BSU_07880,yfkJ,protein-tyrosine-phosphatase,Information processing;Lifestyles;Lifestyles,"Protein synthesis, modification and degradation;Coping with stress;Coping with stress",FALSE
NZ_CP015975.1,A8O17_RS04170,812469,812789,+,BSU_07890,yfkI,conserved hypothetical protein,Lifestyles;Lifestyles,Coping with stress;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS04175,812813,813640,+,BSU_07900,rbn,putative ribonuclease BN,Lifestyles;Lifestyles;Groups of genes,Coping with stress;Coping with stress;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04185,813839,815014,-,BSU_07910,yfkF,putative efflux transporter,Cellular processes;Lifestyles;Groups of genes,Transporters;Coping with stress;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS20790,815033,815185,+,no_equivalent,NA,NA,NA,NA,FALSE
NZ_CP015975.1,A8O17_RS04195,815182,816237,+,BSU_07920,chaA,H+/Ca2+ antiporter,Cellular processes;Cellular processes;Lifestyles;Lifestyles;Groups of genes,Transporters;Homeostasis;Sporulation;Coping with stress;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS04200,816308,817102,+,BSU_07930,yfkD,conserved hypothetical protein,Lifestyles,Coping with stress,TRUE
NZ_CP015975.1,A8O17_RS04205,817141,817983,-,BSU_07940,mscC,mechanosensitive ion channel,Lifestyles;Groups of genes,Coping with stress;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04210,817984,819105,-,BSU_07955,yfkA,putative Fe-S oxidoreductase%2C radical SAM superfamily,Information processing;Information processing;Groups of genes,"Protein synthesis, modification and degradation;Protein synthesis, modification and degradation;Poorly characterized/ putative enzymes",FALSE
NZ_CP015975.1,A8O17_RS04215,819250,819435,+,BSU_07970,yfjT,conserved hypothetical protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04220,819536,820327,+,BSU_07980,pdaA,exported peptidoglycan N-acetylmuramic acid deacetylase,Cellular processes;Lifestyles,Cell envelope and cell division;Sporulation,TRUE
NZ_CP015975.1,A8O17_RS04225,820365,821225,-,BSU_07990,yfjR,putative beta-hydroxyacid dehydrogenase,Groups of genes;Groups of genes,Phosphoproteins;Poorly characterized/ putative enzymes,FALSE
NZ_CP015975.1,A8O17_RS04230,821324,822283,-,BSU_08000,yfjQ,divalent cation (octahedral coordination) transporter,Cellular processes;Groups of genes,Homeostasis;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04235,822402,823265,+,BSU_08010,yfjP,putative DNA-3-methyladenine glycosylase,Information processing,Genetics,FALSE
NZ_CP015975.1,A8O17_RS04240,823379,824779,+,BSU_08020,yfjO,putative RNA methyltransferase,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS04245,825405,825671,+,BSU_08029,yfzA,conserved hypothetical protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04250,826403,827380,+,BSU_08030,dusC,tRNA-dihydrouridine synthase 2,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS04255,827576,828028,+,BSU_08040,yfjM,conserved hypothetical protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04260,828058,828747,+,BSU_08050,yfjL,conserved hypothetical protein,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS04265,828979,829980,+,BSU_08060,acoA,acetoin dehydrogenase E1 component (TPP-dependent alpha subunit),Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS04270,829984,831012,+,BSU_08070,acoB,acetoin dehydrogenase E1 component (TPP-dependent beta subunit),Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS04275,831026,832222,+,BSU_08080,acoC,acetoin dehydrogenase E2 component (dihydrolipoamide acetyltransferase),Metabolism,Carbon metabolism,TRUE
NZ_CP015975.1,A8O17_RS04280,832243,833619,+,BSU_08090,acoL,acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase),Metabolism,Carbon metabolism,FALSE
NZ_CP015975.1,A8O17_RS04285,833735,835552,+,BSU_08100,acoR,transcriptional regulator (AcoR-acetoin),Metabolism;Information processing,Carbon metabolism;Regulation of gene expression,FALSE
NZ_CP015975.1,A8O17_RS04290,835606,835785,+,BSU_08110,sspH,small acid-soluble spore protein,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS04295,835821,836150,-,BSU_08120,yfjF,putative membrane protein,Groups of genes;Groups of genes,Membrane proteins;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04300,836200,836658,-,BSU_08130,yfjE,putative integral inner membrane protein,Groups of genes;Groups of genes,Membrane proteins;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04305,836752,837309,-,BSU_08140,yfjD,putative integral inner membrane protein,Groups of genes;Groups of genes,Membrane proteins;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04310,837341,838108,-,BSU_08150,yfjC,conserved protein of unknown function,Groups of genes;Groups of genes,Phosphoproteins;Proteins of unknown function,TRUE
NZ_CP015975.1,A8O17_RS04315,838120,839343,-,BSU_08160,yfjB,putative phage protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04320,839349,839663,-,BSU_08170,yfjA,conserved hypothetical protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04325,839999,841348,+,BSU_08180,malA,6-phospho-alpha-glucosidase,Metabolism;Groups of genes,Carbon metabolism;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04330,841413,842177,+,BSU_08190,malR,transcriptional activator of the Mal operon,Metabolism;Information processing,Carbon metabolism;Regulation of gene expression,FALSE
NZ_CP015975.1,A8O17_RS04335,842192,843775,+,BSU_08200,malP,phosphotransferase system (PTS) maltose-specific enzyme IICB component,Cellular processes;Metabolism;Groups of genes;Groups of genes;Groups of genes,Transporters;Carbon metabolism;Membrane proteins;Phosphoproteins;Phosphoproteins,FALSE
NZ_CP015975.1,A8O17_RS04340,843881,845602,+,BSU_08210,yfiB,putative xenobiotic ABC transporter subunit (ATP-binding protein),Cellular processes;Groups of genes,Transporters;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04345,845596,847410,+,BSU_08220,yfiC,putative ABC transporter (ATP-binding protein),Cellular processes;Groups of genes,Transporters;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04350,847565,847969,+,BSU_08230,catD,catechol-2%2C3-dioxygenase membrane subunit,Metabolism;Lifestyles;Groups of genes,Detoxification reactions;Coping with stress;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04355,847987,848844,+,BSU_08240,catE,catechol-2%2C3-dioxygenase subunit,Metabolism;Lifestyles,Detoxification reactions;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS04360,848938,849882,+,BSU_08250,yfiF,putative transcriptional regulator (AraC/XylS family%3B cupin family),Information processing,Regulation of gene expression,FALSE
NZ_CP015975.1,A8O17_RS04365,850057,851505,+,BSU_08260,yfiG,putative sugar/proton transporter,Cellular processes;Metabolism;Groups of genes,Transporters;Carbon metabolism;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04370,851532,852473,+,BSU_08270,yfiH,putative sugar-phosphate epimerase/isomerase,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04375,852483,853664,+,BSU_08280,yfiI,putative oxidoreductase,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS04380,853788,854990,+,BSU_08290,linJ,two-component sensor histidine kinase [LinK] (linearmycin resistance%2C biofilm formation),Information processing;Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Regulation of gene expression;Membrane proteins;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS04385,854987,855649,+,BSU_08300,linK,two-component response regulator [LinJ] (linearmycin resistance%2C biofilm formation),Information processing;Groups of genes,Regulation of gene expression;Phosphoproteins,FALSE
NZ_CP015975.1,A8O17_RS04390,855793,856728,+,BSU_08310,bifL,ABC transporter (ATP-binding protein) biofilm formation,Cellular processes;Groups of genes,Transporters;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04395,856741,857931,+,BSU_08320,bifM,ABC transporter (permease) biofilm formation,Cellular processes;Groups of genes,Transporters;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04400,857945,859102,+,BSU_08330,bifN,ABC transporter (permease) biofilm formation,Cellular processes;Groups of genes,Transporters;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS04405,859175,859723,-,BSU_08340,padR,transcriptional regulator of phenolic acid decarboxylase,Information processing;Lifestyles,Regulation of gene expression;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS04410,859996,860628,+,BSU_08350,estB,secreted esterase / acylglycerol lipase,Metabolism;Groups of genes,Lipid metabolism;Secreted proteins,FALSE
NZ_CP015975.1,A8O17_RS04415,860817,861905,+,BSU_08360,icaC,acetyl-glucosamine metabolite exporter component involved in biofilm formation,Groups of genes;Groups of genes,Membrane proteins;Proteins of unknown function,FALSE
