header,protein,sp,description,group,new.header
WP_000184359.1 MULTISPECIES: RNA polymerase sigma factor RpoH [Vibrio],WP_000184359.1,Vibrio, MULTISPECIES: RNA polymerase sigma factor RpoH,bacteria,WP_000184359.1_bacteria
WP_001030417.1 RNA polymerase sigma factor FliA [Vibrio cholerae],WP_001030417.1,Vibrio cholerae, RNA polymerase sigma factor FliA,bacteria,WP_001030417.1_bacteria
WP_000116737.1 RNA polymerase sigma factor RpoS [Vibrio cholerae],WP_000116737.1,Vibrio cholerae, RNA polymerase sigma factor RpoS,bacteria,WP_000116737.1_bacteria
WP_000372618.1 MULTISPECIES: RNA polymerase sigma factor RpoD [Vibrio],WP_000372618.1,Vibrio, MULTISPECIES: RNA polymerase sigma factor RpoD,bacteria,WP_000372618.1_bacteria
WP_014342819.1 RNA polymerase sigma factor WhiG [Treponema pallidum],WP_014342819.1,Treponema pallidum, RNA polymerase sigma factor WhiG,bacteria,WP_014342819.1_bacteria
WP_010882456.1 RNA polymerase sigma factor RpoD/SigA [Treponema pallidum],WP_010882456.1,Treponema pallidum, RNA polymerase sigma factor RpoD/SigA,bacteria,WP_010882456.1_bacteria
WP_010881942.1 RNA polymerase sigma factor RpoD [Treponema pallidum],WP_010881942.1,Treponema pallidum, RNA polymerase sigma factor RpoD,bacteria,WP_010881942.1_bacteria
WP_004080667.1 FliA/WhiG family RNA polymerase sigma factor [Thermotoga maritima],WP_004080667.1,Thermotoga maritima, FliA/WhiG family RNA polymerase sigma factor,bacteria,WP_004080667.1_bacteria
WP_004081730.1 MULTISPECIES: RNA polymerase sigma factor RpoD [Thermotoga],WP_004081730.1,Thermotoga, MULTISPECIES: RNA polymerase sigma factor RpoD,bacteria,WP_004081730.1_bacteria
WP_011244619.1 MULTISPECIES: RNA polymerase sigma factor SigF [Synechococcus],WP_011244619.1,Synechococcus, MULTISPECIES: RNA polymerase sigma factor SigF,bacteria,WP_011244619.1_bacteria
WP_011244805.1 MULTISPECIES: RNA polymerase sigma factor SigF [Synechococcus],WP_011244805.1,Synechococcus, MULTISPECIES: RNA polymerase sigma factor SigF,bacteria,WP_011244805.1_bacteria
WP_011244655.1 circadian expression RNA polymerase sigma factor SigA2 [Synechococcus elongatus],WP_011244655.1,Synechococcus elongatus, circadian expression RNA polymerase sigma factor SigA2,bacteria,WP_011244655.1_bacteria
"WP_011377675.1 MULTISPECIES: RNA polymerase sigma factor, RpoD/SigA family [Synechococcus]",WP_011377675.1,Synechococcus," MULTISPECIES: RNA polymerase sigma factor, RpoD/SigA family",bacteria,WP_011377675.1_bacteria
WP_011378081.1 MULTISPECIES: RpoD/SigA family RNA polymerase sigma factor [Synechococcus],WP_011378081.1,Synechococcus, MULTISPECIES: RpoD/SigA family RNA polymerase sigma factor,bacteria,WP_011378081.1_bacteria
WP_011243265.1 MULTISPECIES: RpoD/SigA family RNA polymerase sigma factor [Synechococcus],WP_011243265.1,Synechococcus, MULTISPECIES: RpoD/SigA family RNA polymerase sigma factor,bacteria,WP_011243265.1_bacteria
WP_011244555.1 MULTISPECIES: RNA polymerase sigma factor SigC [Synechococcus],WP_011244555.1,Synechococcus, MULTISPECIES: RNA polymerase sigma factor SigC,bacteria,WP_011244555.1_bacteria
WP_081422183.1 RNA polymerase sigma factor RpoD [Synechococcus elongatus],WP_081422183.1,Synechococcus elongatus, RNA polymerase sigma factor RpoD,bacteria,WP_081422183.1_bacteria
NP_625842.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_625842.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_625842.1_bacteria
NP_631369.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_631369.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_631369.1_bacteria
NP_631395.1 RNA polymerase secondary sigma factor [Streptomyces coelicolor A3(2)],NP_631395.1,Streptomyces coelicolor A3(2), RNA polymerase secondary sigma factor,bacteria,NP_631395.1_bacteria
NP_628217.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_628217.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_628217.1_bacteria
NP_627288.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_627288.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_627288.1_bacteria
NP_630601.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_630601.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_630601.1_bacteria
NP_631334.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_631334.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_631334.1_bacteria
NP_624912.1 RNA polymerase sigma factor sig8 [Streptomyces coelicolor A3(2)],NP_624912.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor sig8,bacteria,NP_624912.1_bacteria
NP_629389.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_629389.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_629389.1_bacteria
NP_628216.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_628216.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_628216.1_bacteria
NP_625194.1 RNA polymerase principal sigma factor HrdC [Streptomyces coelicolor A3(2)],NP_625194.1,Streptomyces coelicolor A3(2), RNA polymerase principal sigma factor HrdC,bacteria,NP_625194.1_bacteria
NP_629755.1 RNA polymerase sigma factor WhiG [Streptomyces coelicolor A3(2)],NP_629755.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor WhiG,bacteria,NP_629755.1_bacteria
NP_627416.1 RNA polymerase principal sigma factor [Streptomyces coelicolor A3(2)],NP_627416.1,Streptomyces coelicolor A3(2), RNA polymerase principal sigma factor,bacteria,NP_627416.1_bacteria
NP_626707.1 RNA polymerase principal sigma factor [Streptomyces coelicolor A3(2)],NP_626707.1,Streptomyces coelicolor A3(2), RNA polymerase principal sigma factor,bacteria,NP_626707.1_bacteria
NP_629943.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_629943.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_629943.1_bacteria
WP_011000337.1 MULTISPECIES: RNA polymerase sigma factor RpoH [Ralstonia],WP_011000337.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor RpoH,bacteria,WP_011000337.1_bacteria
WP_170864009.1 MULTISPECIES: RNA polymerase sigma factor FliA [Ralstonia],WP_170864009.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor FliA,bacteria,WP_170864009.1_bacteria
WP_011001157.1 MULTISPECIES: RNA polymerase sigma factor RpoS [Ralstonia],WP_011001157.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor RpoS,bacteria,WP_011001157.1_bacteria
WP_038962216.1 MULTISPECIES: RNA polymerase sigma factor RpoD [Ralstonia],WP_038962216.1,Ralstonia, MULTISPECIES: RNA polymerase sigma factor RpoD,bacteria,WP_038962216.1_bacteria
NP_249067.1 RNA polymerase sigma factor RpoH [Pseudomonas aeruginosa PAO1],NP_249067.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor RpoH,bacteria,NP_249067.1_bacteria
NP_252312.1 RNA polymerase sigma factor RpoS [Pseudomonas aeruginosa PAO1],NP_252312.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor RpoS,bacteria,NP_252312.1_bacteria
NP_249267.1 RNA polymerase sigma factor RpoD [Pseudomonas aeruginosa PAO1],NP_249267.1,Pseudomonas aeruginosa PAO1, RNA polymerase sigma factor RpoD,bacteria,NP_249267.1_bacteria
WP_011130162.1 sigma-70 family RNA polymerase sigma factor [Prochlorococcus marinus],WP_011130162.1,Prochlorococcus marinus, sigma-70 family RNA polymerase sigma factor,bacteria,WP_011130162.1_bacteria
WP_011129835.1 sigma-70 family RNA polymerase sigma factor [Prochlorococcus marinus],WP_011129835.1,Prochlorococcus marinus, sigma-70 family RNA polymerase sigma factor,bacteria,WP_011129835.1_bacteria
WP_011130440.1 RpoD/SigA family RNA polymerase sigma factor [Prochlorococcus marinus],WP_011130440.1,Prochlorococcus marinus, RpoD/SigA family RNA polymerase sigma factor,bacteria,WP_011130440.1_bacteria
WP_157859911.1 RpoD/SigA family RNA polymerase sigma factor [Prochlorococcus marinus],WP_157859911.1,Prochlorococcus marinus, RpoD/SigA family RNA polymerase sigma factor,bacteria,WP_157859911.1_bacteria
WP_011129725.1 RpoD/SigA family RNA polymerase sigma factor [Prochlorococcus marinus],WP_011129725.1,Prochlorococcus marinus, RpoD/SigA family RNA polymerase sigma factor,bacteria,WP_011129725.1_bacteria
WP_011131610.1 RpoD/SigA family RNA polymerase sigma factor [Prochlorococcus marinus],WP_011131610.1,Prochlorococcus marinus, RpoD/SigA family RNA polymerase sigma factor,bacteria,WP_011131610.1_bacteria
"WP_011131581.1 RNA polymerase sigma factor, RpoD/SigA family [Prochlorococcus marinus]",WP_011131581.1,Prochlorococcus marinus," RNA polymerase sigma factor, RpoD/SigA family",bacteria,WP_011131581.1_bacteria
WP_041384505.1 RNA polymerase sigma factor RpoD [Prochlorococcus marinus],WP_041384505.1,Prochlorococcus marinus, RNA polymerase sigma factor RpoD,bacteria,WP_041384505.1_bacteria
WP_012457665.1 RNA polymerase sigma factor RpoD/SigA [Porphyromonas gingivalis],WP_012457665.1,Porphyromonas gingivalis, RNA polymerase sigma factor RpoD/SigA,bacteria,WP_012457665.1_bacteria
WP_011552281.1 MULTISPECIES: RNA polymerase sigma factor [Myxococcus],WP_011552281.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_011552281.1_bacteria
WP_011555212.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011555212.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011555212.1_bacteria
WP_020478245.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_020478245.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_020478245.1_bacteria
WP_026113872.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_026113872.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_026113872.1_bacteria
WP_020477947.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_020477947.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_020477947.1_bacteria
WP_020478595.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_020478595.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_020478595.1_bacteria
WP_026113799.1 MULTISPECIES: RNA polymerase factor sigma-32 [Myxococcus],WP_026113799.1,Myxococcus, MULTISPECIES: RNA polymerase factor sigma-32,bacteria,WP_026113799.1_bacteria
WP_011552512.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Myxococcus],WP_011552512.1,Myxococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011552512.1_bacteria
WP_020478755.1 MULTISPECIES: RNA polymerase factor sigma-32 [Myxococcus],WP_020478755.1,Myxococcus, MULTISPECIES: RNA polymerase factor sigma-32,bacteria,WP_020478755.1_bacteria
WP_011556153.1 MULTISPECIES: RNA polymerase factor sigma-32 [Myxococcus],WP_011556153.1,Myxococcus, MULTISPECIES: RNA polymerase factor sigma-32,bacteria,WP_011556153.1_bacteria
WP_011555174.1 MULTISPECIES: RNA polymerase sigma factor RpoD [Myxococcus],WP_011555174.1,Myxococcus, MULTISPECIES: RNA polymerase sigma factor RpoD,bacteria,WP_011555174.1_bacteria
NP_217803.1 RNA polymerase sigma factor SigF [Mycobacterium tuberculosis H37Rv],NP_217803.1,Mycobacterium tuberculosis H37Rv, RNA polymerase sigma factor SigF,bacteria,NP_217803.1_bacteria
NP_217226.1 RNA polymerase sigma factor SigB [Mycobacterium tuberculosis H37Rv],NP_217226.1,Mycobacterium tuberculosis H37Rv, RNA polymerase sigma factor SigB,bacteria,NP_217226.1_bacteria
NP_217219.1 RNA polymerase sigma factor SigA [Mycobacterium tuberculosis H37Rv],NP_217219.1,Mycobacterium tuberculosis H37Rv, RNA polymerase sigma factor SigA,bacteria,NP_217219.1_bacteria
NP_464421.1 RNA polymerase sigma factor SigB [Listeria monocytogenes EGD-e],NP_464421.1,Listeria monocytogenes EGD-e, RNA polymerase sigma factor SigB,bacteria,NP_464421.1_bacteria
NP_464979.1 RNA polymerase sigma factor RpoD [Listeria monocytogenes EGD-e],NP_464979.1,Listeria monocytogenes EGD-e, RNA polymerase sigma factor RpoD,bacteria,NP_464979.1_bacteria
WP_000602430.1 RNA polymerase sigma factor FliA [Helicobacter pylori],WP_000602430.1,Helicobacter pylori, RNA polymerase sigma factor FliA,bacteria,WP_000602430.1_bacteria
WP_161595577.1 RNA polymerase sigma factor RpoD [Helicobacter pylori],WP_161595577.1,Helicobacter pylori, RNA polymerase sigma factor RpoD,bacteria,WP_161595577.1_bacteria
"NP_417918.1 RNA polymerase, sigma 32 (sigma H) factor [Escherichia coli str. K-12 substr. MG1655]",NP_417918.1,Escherichia coli str. K-12 substr. MG1655," RNA polymerase, sigma 32 (sigma H) factor",bacteria,NP_417918.1_bacteria
"NP_416432.3 RNA polymerase, sigma 28 (sigma F) factor [Escherichia coli str. K-12 substr. MG1655]",NP_416432.3,Escherichia coli str. K-12 substr. MG1655," RNA polymerase, sigma 28 (sigma F) factor",bacteria,NP_416432.3_bacteria
"NP_417221.1 RNA polymerase, sigma S (sigma 38) factor [Escherichia coli str. K-12 substr. MG1655]",NP_417221.1,Escherichia coli str. K-12 substr. MG1655," RNA polymerase, sigma S (sigma 38) factor",bacteria,NP_417221.1_bacteria
"NP_417539.1 RNA polymerase, sigma 70 (sigma D) factor [Escherichia coli str. K-12 substr. MG1655]",NP_417539.1,Escherichia coli str. K-12 substr. MG1655," RNA polymerase, sigma 70 (sigma D) factor",bacteria,NP_417539.1_bacteria
WP_003851800.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Corynebacterium],WP_003851800.1,Corynebacterium, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_003851800.1_bacteria
WP_003851787.1 MULTISPECIES: RNA polymerase sigma factor [Corynebacterium],WP_003851787.1,Corynebacterium, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_003851787.1_bacteria
WP_003420464.1 SigB/SigF/SigG family RNA polymerase sigma factor [Clostridioides difficile],WP_003420464.1,Clostridioides difficile, SigB/SigF/SigG family RNA polymerase sigma factor,bacteria,WP_003420464.1_bacteria
WP_011860953.1 RNA polymerase sporulation sigma factor SigF [Clostridioides difficile],WP_011860953.1,Clostridioides difficile, RNA polymerase sporulation sigma factor SigF,bacteria,WP_011860953.1_bacteria
WP_003416101.1 RNA polymerase sporulation sigma factor SigG [Clostridioides difficile],WP_003416101.1,Clostridioides difficile, RNA polymerase sporulation sigma factor SigG,bacteria,WP_003416101.1_bacteria
WP_003416098.1 RNA polymerase sporulation sigma factor SigE [Clostridioides difficile],WP_003416098.1,Clostridioides difficile, RNA polymerase sporulation sigma factor SigE,bacteria,WP_003416098.1_bacteria
WP_003435969.1 FliA/WhiG family RNA polymerase sigma factor [Clostridioides difficile],WP_003435969.1,Clostridioides difficile, FliA/WhiG family RNA polymerase sigma factor,bacteria,WP_003435969.1_bacteria
WP_009889336.1 sigma-70 family RNA polymerase sigma factor [Clostridioides difficile],WP_009889336.1,Clostridioides difficile, sigma-70 family RNA polymerase sigma factor,bacteria,WP_009889336.1_bacteria
WP_003429425.1 RNA polymerase sigma factor RpoD [Clostridioides difficile],WP_003429425.1,Clostridioides difficile, RNA polymerase sigma factor RpoD,bacteria,WP_003429425.1_bacteria
YP_002343525.1 flagellar biosynthesis RNA polymerase sigma factor [Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819],YP_002343525.1,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819, flagellar biosynthesis RNA polymerase sigma factor,bacteria,YP_002343525.1_bacteria
YP_002344396.1 RNA polymerase sigma factor RpoD [Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819],YP_002344396.1,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819, RNA polymerase sigma factor RpoD,bacteria,YP_002344396.1_bacteria
WP_002557358.1 MULTISPECIES: RNA polymerase sigma factor RpoS [Borreliaceae],WP_002557358.1,Borreliaceae, MULTISPECIES: RNA polymerase sigma factor RpoS,bacteria,WP_002557358.1_bacteria
WP_002656292.1 RNA polymerase sigma factor RpoD [Borreliella burgdorferi],WP_002656292.1,Borreliella burgdorferi, RNA polymerase sigma factor RpoD,bacteria,WP_002656292.1_bacteria
WP_025309100.1 RNA polymerase factor sigma-32 [Bdellovibrio bacteriovorus],WP_025309100.1,Bdellovibrio bacteriovorus, RNA polymerase factor sigma-32,bacteria,WP_025309100.1_bacteria
WP_025309103.1 FliA/WhiG family RNA polymerase sigma factor [Bdellovibrio bacteriovorus],WP_025309103.1,Bdellovibrio bacteriovorus, FliA/WhiG family RNA polymerase sigma factor,bacteria,WP_025309103.1_bacteria
WP_025306971.1 RNA polymerase sigma factor RpoD [Bdellovibrio bacteriovorus],WP_025306971.1,Bdellovibrio bacteriovorus, RNA polymerase sigma factor RpoD,bacteria,WP_025306971.1_bacteria
WP_008766632.1 MULTISPECIES: RNA polymerase sigma factor RpoD/SigA [Bacteroidaceae],WP_008766632.1,Bacteroidaceae, MULTISPECIES: RNA polymerase sigma factor RpoD/SigA,bacteria,WP_008766632.1_bacteria
WP_009967190.1 MULTISPECIES: RNA polymerase sporulation sigma factor SigG [Bacillus],WP_009967190.1,Bacillus, MULTISPECIES: RNA polymerase sporulation sigma factor SigG,bacteria,WP_009967190.1_bacteria
WP_003230458.1 MULTISPECIES: RNA polymerase sporulation sigma factor SigF [Bacillaceae],WP_003230458.1,Bacillaceae, MULTISPECIES: RNA polymerase sporulation sigma factor SigF,bacteria,WP_003230458.1_bacteria
WP_003246715.1 MULTISPECIES: RNA polymerase sigma factor SigB [Bacillus],WP_003246715.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor SigB,bacteria,WP_003246715.1_bacteria
WP_003221446.1 MULTISPECIES: RNA polymerase sporulation sigma factor SigE [Bacillaceae],WP_003221446.1,Bacillaceae, MULTISPECIES: RNA polymerase sporulation sigma factor SigE,bacteria,WP_003221446.1_bacteria
WP_003220911.1 MULTISPECIES: RNA polymerase sigma-28 factor SigD [Bacillaceae],WP_003220911.1,Bacillaceae, MULTISPECIES: RNA polymerase sigma-28 factor SigD,bacteria,WP_003220911.1_bacteria
WP_003226225.1 MULTISPECIES: RNA polymerase sigma factor RpoD [Bacillaceae],WP_003226225.1,Bacillaceae, MULTISPECIES: RNA polymerase sigma factor RpoD,bacteria,WP_003226225.1_bacteria
WP_002025078.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacillus],WP_002025078.1,Bacillus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_002025078.1_bacteria
WP_000197755.1 MULTISPECIES: RNA polymerase sporulation sigma factor SigG [Bacillus],WP_000197755.1,Bacillus, MULTISPECIES: RNA polymerase sporulation sigma factor SigG,bacteria,WP_000197755.1_bacteria
WP_000350729.1 MULTISPECIES: RNA polymerase sporulation sigma factor SigF [Bacillus],WP_000350729.1,Bacillus, MULTISPECIES: RNA polymerase sporulation sigma factor SigF,bacteria,WP_000350729.1_bacteria
WP_000051382.1 MULTISPECIES: RNA polymerase sporulation sigma factor SigK [Bacillus],WP_000051382.1,Bacillus, MULTISPECIES: RNA polymerase sporulation sigma factor SigK,bacteria,WP_000051382.1_bacteria
WP_000976948.1 MULTISPECIES: RNA polymerase sporulation sigma factor SigE [Bacillus],WP_000976948.1,Bacillus, MULTISPECIES: RNA polymerase sporulation sigma factor SigE,bacteria,WP_000976948.1_bacteria
WP_000764065.1 MULTISPECIES: RNA polymerase sigma factor RpoD [Bacillus],WP_000764065.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor RpoD,bacteria,WP_000764065.1_bacteria
WP_003491840.1 MULTISPECIES: RNA polymerase sigma factor RpoH [Rhizobium/Agrobacterium group],WP_003491840.1,Rhizobium/Agrobacterium group, MULTISPECIES: RNA polymerase sigma factor RpoH,bacteria,WP_003491840.1_bacteria
WP_003513359.1 MULTISPECIES: RNA polymerase sigma factor RpoD [Rhizobium/Agrobacterium group],WP_003513359.1,Rhizobium/Agrobacterium group, MULTISPECIES: RNA polymerase sigma factor RpoD,bacteria,WP_003513359.1_bacteria
WP_000483035.1 MULTISPECIES: RNA polymerase sigma factor [Vibrio],WP_000483035.1,Vibrio, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_000483035.1_bacteria
WP_001880851.1 sigma-70 family RNA polymerase sigma factor [Vibrio cholerae],WP_001880851.1,Vibrio cholerae, sigma-70 family RNA polymerase sigma factor,bacteria,WP_001880851.1_bacteria
WP_001005346.1 MULTISPECIES: RNA polymerase sigma factor RpoE [Vibrio],WP_001005346.1,Vibrio, MULTISPECIES: RNA polymerase sigma factor RpoE,bacteria,WP_001005346.1_bacteria
WP_013944800.1 MULTISPECIES: RNA polymerase sigma factor [Treponema],WP_013944800.1,Treponema, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_013944800.1_bacteria
WP_004081373.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Thermotoga],WP_004081373.1,Thermotoga, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_004081373.1_bacteria
WP_004082042.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Thermotoga],WP_004082042.1,Thermotoga, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_004082042.1_bacteria
WP_011244401.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Synechococcus],WP_011244401.1,Synechococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011244401.1_bacteria
WP_011244481.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Synechococcus],WP_011244481.1,Synechococcus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_011244481.1_bacteria
NP_631160.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_631160.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_631160.1_bacteria
NP_626875.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_626875.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_626875.1_bacteria
NP_628967.1 hypothetical protein SCO4810 [Streptomyces coelicolor A3(2)],NP_628967.1,Streptomyces coelicolor A3(2), hypothetical protein SCO4810,bacteria,NP_628967.1_bacteria
NP_625617.1 hypothetical protein SCO1332 [Streptomyces coelicolor A3(2)],NP_625617.1,Streptomyces coelicolor A3(2), hypothetical protein SCO1332,bacteria,NP_625617.1_bacteria
NP_639724.1 sigma factor (plasmid) [Streptomyces coelicolor A3(2)],NP_639724.1,Streptomyces coelicolor A3(2), sigma factor (plasmid),bacteria,NP_639724.1_bacteria
NP_639734.1 regulatory protein (plasmid) [Streptomyces coelicolor A3(2)],NP_639734.1,Streptomyces coelicolor A3(2), regulatory protein (plasmid),bacteria,NP_639734.1_bacteria
NP_631250.1 sigma factor [Streptomyces coelicolor A3(2)],NP_631250.1,Streptomyces coelicolor A3(2), sigma factor,bacteria,NP_631250.1_bacteria
NP_628927.1 RNA polymerase sigma factor SigD [Streptomyces coelicolor A3(2)],NP_628927.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor SigD,bacteria,NP_628927.1_bacteria
NP_628577.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_628577.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_628577.1_bacteria
NP_631166.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_631166.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_631166.1_bacteria
NP_628187.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_628187.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_628187.1_bacteria
NP_631061.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_631061.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_631061.1_bacteria
NP_628619.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_628619.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_628619.1_bacteria
NP_627564.1 ECF sigma factor [Streptomyces coelicolor A3(2)],NP_627564.1,Streptomyces coelicolor A3(2), ECF sigma factor,bacteria,NP_627564.1_bacteria
NP_631173.1 ECF family RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_631173.1,Streptomyces coelicolor A3(2), ECF family RNA polymerase sigma factor,bacteria,NP_631173.1_bacteria
NP_624735.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_624735.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_624735.1_bacteria
NP_629148.1 RNA polymerase ECF sigma factor [Streptomyces coelicolor A3(2)],NP_629148.1,Streptomyces coelicolor A3(2), RNA polymerase ECF sigma factor,bacteria,NP_629148.1_bacteria
NP_626143.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_626143.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_626143.1_bacteria
NP_631203.1 ECF sigma factor [Streptomyces coelicolor A3(2)],NP_631203.1,Streptomyces coelicolor A3(2), ECF sigma factor,bacteria,NP_631203.1_bacteria
NP_630339.1 sigma factor [Streptomyces coelicolor A3(2)],NP_630339.1,Streptomyces coelicolor A3(2), sigma factor,bacteria,NP_630339.1_bacteria
NP_625563.1 RNA polymerase ECF sigma factor [Streptomyces coelicolor A3(2)],NP_625563.1,Streptomyces coelicolor A3(2), RNA polymerase ECF sigma factor,bacteria,NP_625563.1_bacteria
NP_627927.1 RNA polymerase ECF sigma factor [Streptomyces coelicolor A3(2)],NP_627927.1,Streptomyces coelicolor A3(2), RNA polymerase ECF sigma factor,bacteria,NP_627927.1_bacteria
NP_624495.1 ECF sigma factor [Streptomyces coelicolor A3(2)],NP_624495.1,Streptomyces coelicolor A3(2), ECF sigma factor,bacteria,NP_624495.1_bacteria
NP_630051.1 sigma factor [Streptomyces coelicolor A3(2)],NP_630051.1,Streptomyces coelicolor A3(2), sigma factor,bacteria,NP_630051.1_bacteria
NP_626973.1 sigma factor [Streptomyces coelicolor A3(2)],NP_626973.1,Streptomyces coelicolor A3(2), sigma factor,bacteria,NP_626973.1_bacteria
NP_627820.1 RNA polymerase sigma factor [Streptomyces coelicolor A3(2)],NP_627820.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor,bacteria,NP_627820.1_bacteria
NP_628295.1 hypothetical protein SCO4117 [Streptomyces coelicolor A3(2)],NP_628295.1,Streptomyces coelicolor A3(2), hypothetical protein SCO4117,bacteria,NP_628295.1_bacteria
NP_624943.1 RNA polymerase sigma factor SigK [Streptomyces coelicolor A3(2)],NP_624943.1,Streptomyces coelicolor A3(2), RNA polymerase sigma factor SigK,bacteria,NP_624943.1_bacteria
NP_629091.1 ECF-sigma factor [Streptomyces coelicolor A3(2)],NP_629091.1,Streptomyces coelicolor A3(2), ECF-sigma factor,bacteria,NP_629091.1_bacteria
