#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG05440	2	2	Xu	sp|Q5UR08|YL649_MIMIV Uncharacterized protein L649
VOG05441	2	2	Xh	sp|Q5UNT2|YL672_MIMIV Uncharacterized protein L672
VOG05442	2	2	Xs	sp|Q5UQ64|YR653_MIMIV Uncharacterized protein R653
VOG05443	2	2	Xh	sp|Q5UNT8|YL678_MIMIV Putative SET domain-containing protein L678
VOG05444	2	2	XhXs	sp|Q5UNT7|YR679_MIMIV Putative serine/threonine-protein kinase R679
VOG05445	2	2	Xh	sp|Q5UQ59|SYR_MIMIV Arginine--tRNA ligase
VOG05446	2	2	Xu	sp|Q5UNU5|YL684_MIMIV Uncharacterized protein L684
VOG05447	2	2	Xh	sp|Q5UNU7|YL682_MIMIV Uncharacterized protein L682
VOG05448	2	2	Xu	sp|Q5UNW4|YR704_MIMIV Uncharacterized protein R704
VOG05449	2	2	Xu	sp|Q5UQ52|YR708_MIMIV Uncharacterized phosphoglycerate mutase family protein R708
VOG05450	2	2	Xs	sp|Q5UNV0|YR692_MIMIV Uncharacterized protein R692
VOG05451	2	2	Xh	sp|Q5UQ57|UBC2_MIMIV Probable ubiquitin-conjugating enzyme E2 L709
VOG05452	2	2	Xs	sp|Q5UNW0|YR695_MIMIV Uncharacterized protein R695
VOG05453	2	2	Xs	sp|Q5UQ56|YR710_MIMIV Uncharacterized protein R710
VOG05454	2	2	Xs	sp|Q5UNV2|YL688_MIMIV Uncharacterized protein L688
VOG05455	2	2	Xs	sp|Q5UNV1|YR691_MIMIV Uncharacterized protein R691
VOG05456	2	2	Xu	sp|Q5UQ55|YL711_MIMIV Uncharacterized protein L711
VOG05457	2	2	Xh	sp|Q5UNX1|YL716_MIMIV Putative glutamine amidotransferase-like protein L716
VOG05458	2	2	Xu	sp|Q5UNU9|MGMT_MIMIV Probable methylated-DNA--protein-cysteine methyltransferase
VOG05459	2	2	Xu	sp|Q5UNU8|YR694_MIMIV Uncharacterized protein R694
VOG05460	2	2	Xu	sp|Q5UNW6|YL702_MIMIV Uncharacterized protein L702
VOG05461	2	2	Xu	sp|Q5UQ53|YR713_MIMIV Uncharacterized protein R713
VOG05462	2	2	Xs	sp|Q5UNX8|YR722_MIMIV Uncharacterized protein R722
VOG05463	2	2	Xu	sp|Q5UNW5|YR703_MIMIV Uncharacterized protein R703
VOG05464	2	2	Xs	sp|Q5UNW2|YR706_MIMIV Uncharacterized protein R706
VOG05465	2	2	Xu	sp|Q5UNX4|YR726_MIMIV Uncharacterized protein R726
VOG05466	2	2	Xu	sp|Q5UNY3|YL729_MIMIV Uncharacterized protein L729
VOG05467	2	2	Xu	sp|Q5UNW9|YR718_MIMIV Uncharacterized protein R718
VOG05468	2	2	Xh	sp|Q5UNY0|YL732_MIMIV Uncharacterized protein L732
VOG05469	2	2	Xu	sp|Q5UQ54|YL712_MIMIV Uncharacterized protein L712
VOG05470	2	2	Xs	sp|Q5UNX5|YL725_MIMIV Uncharacterized protein L725
VOG05471	2	2	Xs	sp|Q5UNY5|YR727_MIMIV Uncharacterized protein R727
VOG05472	2	2	Xu	sp|Q5UNX0|YL717_MIMIV Uncharacterized protein L717
VOG05473	2	2	Xu	sp|Q5UNW8|YL719_MIMIV Uncharacterized protein L719
VOG05474	2	2	Xs	sp|Q5UNX9|YR721_MIMIV Uncharacterized protein R721
VOG05475	2	2	Xs	sp|Q5UNX6|YL724_MIMIV Uncharacterized protein L724
VOG05476	2	2	Xu	sp|Q5UNX7|YL723_MIMIV Uncharacterized protein L723
VOG05477	2	2	Xu	sp|Q5UR59|YL803_MIMIV Uncharacterized protein L803
VOG05478	2	2	Xu	sp|Q5UR57|YL805_MIMIV Uncharacterized protein L805
VOG05479	2	2	Xu	sp|Q5UP07|YL755_MIMIV Uncharacterized protein L755
VOG05480	2	2	Xh	sp|Q5UNY2|CFXQ_MIMIV Putative cfxQ-like protein R730
VOG05481	2	2	Xu	sp|Q5UNZ8|YR740_MIMIV Uncharacterized protein R740
VOG05482	2	2	Xu	REFSEQ hypothetical protein
VOG05483	2	2	Xu	sp|Q5UP00|YR752_MIMIV Uncharacterized protein R752
VOG05484	2	2	Xu	sp|Q5UPP8|YL759_MIMIV Uncharacterized protein L759
VOG05485	2	2	Xu	sp|Q5UQQ3|YR860_MIMIV Uncharacterized protein R860
VOG05486	2	2	Xu	sp|Q5UQJ3|YL862_MIMIV Uncharacterized protein L862
VOG05487	2	2	Xu	sp|Q5UQX5|YR883_MIMIV Uncharacterized protein R883
VOG05488	2	2	Xu	sp|Q5UP10|YR849_MIMIV Uncharacterized protein R849
VOG05489	2	2	Xu	sp|Q5UQX4|YL884_MIMIV Putative CDC123-like protein L884
VOG05490	2	2	Xu	REFSEQ hypothetical protein
VOG05491	2	2	Xu	sp|Q5UQJ4|YR861_MIMIV Uncharacterized protein R861
VOG05492	2	2	Xu	sp|Q5URB0|YR874_MIMIV Uncharacterized protein R874
VOG05493	2	2	Xu	REFSEQ putative lipocalin
VOG05494	2	2	Xu	sp|Q5UR05|YL910_MIMIV Uncharacterized protein L910
VOG05495	2	2	Xu	REFSEQ hypothetical protein
VOG05496	2	2	Xu	REFSEQ hypothetical protein
VOG05497	2	2	Xu	REFSEQ capsid protein VP1
VOG05498	2	2	Xu	REFSEQ hypothetical protein
VOG05499	2	2	Xu	sp|Q5UQY0|YR890_MIMIV Uncharacterized protein R890
VOG05500	2	2	Xu	REFSEQ hypothetical protein
VOG05501	2	2	Xu	REFSEQ hypothetical protein
VOG05502	2	2	Xu	REFSEQ hypothetical protein
VOG05503	2	2	Xu	REFSEQ hypothetical protein
VOG05504	2	2	Xu	REFSEQ hypothetical protein
VOG05505	2	2	Xu	REFSEQ hypothetical protein
VOG05506	2	2	Xu	REFSEQ deoxyribodipyrimidine photolyase
VOG05507	2	2	Xu	REFSEQ hypothetical protein
VOG05508	2	2	Xu	REFSEQ hypothetical protein
VOG05509	2	2	Xu	REFSEQ hypothetical protein
VOG05510	2	2	Xu	REFSEQ hypothetical protein
VOG05511	2	2	Xu	REFSEQ uridine kinase
VOG05512	2	2	Xu	REFSEQ vacuolar protein sorting-associated protein
VOG05513	2	2	Xu	REFSEQ protein translation factor sui1-like protein
VOG05514	2	2	Xu	REFSEQ hypothetical protein
VOG05515	2	2	Xu	REFSEQ hypothetical protein
VOG05516	2	2	Xu	REFSEQ hypothetical protein
VOG05517	2	2	Xh	sp|F4JLM5|SYIC_ARATH Isoleucine--tRNA ligase, cytoplasmic
VOG05518	2	2	Xu	REFSEQ hypothetical protein
VOG05519	2	2	Xu	REFSEQ hypothetical protein
VOG05520	2	2	Xu	REFSEQ hypothetical protein
VOG05521	2	2	Xu	REFSEQ hypothetical protein
VOG05522	2	2	Xu	REFSEQ putative DNA-directed RNA polymerase II subunit n
VOG05523	2	2	Xu	REFSEQ hypothetical protein
VOG05524	2	2	Xu	REFSEQ hypothetical protein
VOG05525	2	2	Xu	REFSEQ hypothetical protein
VOG05526	2	2	Xu	REFSEQ hypothetical protein
VOG05527	2	2	Xu	REFSEQ hypothetical protein
VOG05528	2	2	Xu	REFSEQ hypothetical protein
VOG05529	2	2	Xh	sp|Q6LZC4|WECB_METMP UDP-N-acetylglucosamine 2-epimerase
VOG05530	2	2	Xu	REFSEQ hypothetical protein
VOG05531	2	2	Xu	REFSEQ hypothetical protein
VOG05532	2	2	Xu	REFSEQ JmjC domain protein
VOG05533	2	2	Xu	REFSEQ hypothetical protein
VOG05534	2	2	Xu	REFSEQ hypothetical protein
VOG05535	2	2	Xu	REFSEQ hypothetical protein
VOG05536	2	2	Xu	REFSEQ hypothetical protein
VOG05537	2	2	Xu	REFSEQ hypothetical protein
VOG05538	2	2	Xu	REFSEQ hypothetical protein
VOG05539	2	2	Xu	REFSEQ hypothetical protein
VOG05540	2	2	Xu	REFSEQ hypothetical protein
VOG05541	2	2	Xu	REFSEQ hypothetical protein
VOG05542	2	2	Xu	REFSEQ hypothetical protein
VOG05543	2	2	Xu	REFSEQ hypothetical protein
VOG05544	2	2	Xu	REFSEQ hypothetical protein
VOG05545	2	2	Xu	REFSEQ hypothetical protein
VOG05546	2	2	Xu	REFSEQ hypothetical protein
VOG05547	2	2	Xu	REFSEQ hypothetical protein
VOG05548	2	2	Xu	REFSEQ hypothetical protein
VOG05549	2	2	Xu	REFSEQ hypothetical protein
VOG05550	2	2	Xu	REFSEQ hypothetical protein
VOG05551	2	2	Xu	REFSEQ hypothetical protein
VOG05552	2	2	Xu	REFSEQ hypothetical protein
VOG05553	2	2	Xu	REFSEQ hypothetical protein
VOG05554	2	2	Xu	REFSEQ hypothetical protein
VOG05555	2	2	Xu	REFSEQ hypothetical protein
VOG05556	2	2	Xu	REFSEQ hypothetical protein
VOG05557	2	2	Xu	REFSEQ hypothetical protein
VOG05558	2	2	Xu	REFSEQ putative F-box and FNIP repeat-containing protein
VOG05559	2	2	Xu	REFSEQ hypothetical protein
VOG05560	2	2	Xu	REFSEQ hypothetical protein
VOG05561	2	2	Xu	REFSEQ hypothetical protein
VOG05562	2	2	Xh	sp|Q5UPV7|YR277_MIMIV Uncharacterized protein R277
VOG05563	2	2	Xu	REFSEQ hypothetical protein
VOG05564	2	2	Xu	REFSEQ hypothetical protein
VOG05565	2	2	Xu	REFSEQ hypothetical protein
VOG05566	2	2	Xu	REFSEQ hypothetical protein
VOG05567	2	2	Xu	REFSEQ hypothetical protein
VOG05568	2	2	Xu	REFSEQ hypothetical protein
VOG05569	2	2	Xu	REFSEQ hypothetical protein
VOG05570	2	2	Xu	REFSEQ hypothetical protein
VOG05571	2	2	Xu	REFSEQ hypothetical protein
VOG05572	2	2	Xu	REFSEQ hypothetical protein
VOG05573	2	2	Xu	REFSEQ hypothetical protein
VOG05574	2	2	Xu	REFSEQ hypothetical protein
VOG05575	2	2	Xu	sp|Q5UP90|YL020_MIMIV Uncharacterized protein L20
VOG05576	2	2	Xu	REFSEQ hypothetical protein
VOG05577	2	2	Xu	REFSEQ hypothetical protein
VOG05578	2	2	Xu	sp|Q5UPC2|YR050_MIMIV Uncharacterized protein R50
VOG05579	2	2	Xu	sp|Q5UP91|YL019_MIMIV Uncharacterized protein L19
VOG05580	2	2	Xu	REFSEQ hypothetical protein
VOG05581	2	2	Xu	REFSEQ hypothetical protein
VOG05582	2	2	Xu	REFSEQ hypothetical protein
VOG05583	2	2	XhXs	sp|P22472|P3_RDVA Outer capsid protein P3
VOG05584	2	2	Xu	REFSEQ hypothetical protein
VOG05585	2	2	Xu	sp|Q9YX47|VP4_FDVS Uncharacterized protein VP4
VOG05586	2	2	Xu	sp|Q8QV02|VP3_FDVS Putative structural protein VP3
VOG05587	2	2	Xu	REFSEQ hypothetical protein
VOG05588	2	2	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG05589	2	2	Xu	REFSEQ hypothetical protein
VOG05590	2	2	Xu	REFSEQ hypothetical protein
VOG05591	2	2	XhXrXs	sp|A4PBP6|RDRP_RGDV RNA-directed RNA polymerase P1
VOG05592	2	2	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG05593	2	2	Xu	REFSEQ putative F-box and FNIP repeat-containing protein
VOG05594	2	2	Xu	REFSEQ hypothetical protein
VOG05595	2	2	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG05596	2	2	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG05597	2	2	XhXpXr	sp|P0C6T8|R1A_CVBEN Replicase polyprotein 1a
VOG05598	2	2	XhXs	sp|O55519|P2_RDVO Minor outer capsid protein P2
VOG05599	2	2	Xu	sp|P22120|VP62_MRDV Probable non-structural 36.3 kDa protein
VOG05600	2	2	Xs	sp|Q7TF75|VP8_FDVS Microtubule-associated protein VP8
VOG05601	2	2	Xu	sp|Q9YX38|VP91_FDVS Non-structural protein P9-1
VOG05602	2	2	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG05603	2	2	Xs	sp|Q9YX48|CAPSD_FDVS Putative major capsid protein
VOG05604	2	2	Xu	sp|P19898|VP10_RBSDV Protein S10
VOG05605	2	2	XhXpXr	sp|P0C6T8|R1A_CVBEN Replicase polyprotein 1a
VOG05606	2	2	Xu	sp|Q8JYK0|VP5_FDVS Uncharacterized protein VP5
VOG05607	2	2	Xu	REFSEQ nonstructural protein
VOG05608	2	2	Xu	sp|P22119|VP61_MRDV Probable non-structural 41.0 kDa protein
VOG05609	2	2	Xu	sp|Q9YX37|VP92_FDVS Uncharacterized protein VP9-2
VOG05610	2	2	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG05611	2	2	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG05612	2	2	XhXpXr	sp|P0C6T8|R1A_CVBEN Replicase polyprotein 1a
VOG05613	2	2	XhXpXr	sp|P0C6T8|R1A_CVBEN Replicase polyprotein 1a
VOG05614	2	2	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG05615	2	2	XhXpXr	sp|P0C6T8|R1A_CVBEN Replicase polyprotein 1a
VOG05616	2	2	Xu	REFSEQ hypothetical protein
VOG05617	2	2	XhXpXr	sp|P0C6W5|R1AB_BCHK9 Replicase polyprotein 1ab
VOG05618	2	2	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG05619	2	2	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG05620	2	2	XhXpXr	sp|P0C6T8|R1A_CVBEN Replicase polyprotein 1a
VOG05621	2	2	XhXpXr	sp|P0C6W7|R1AB_CVBEN Replicase polyprotein 1ab
VOG05622	2	2	XhXpXr	sp|P0C6W7|R1AB_CVBEN Replicase polyprotein 1ab
VOG05623	2	2	XhXpXr	sp|P0C6W7|R1AB_CVBEN Replicase polyprotein 1ab
VOG05624	2	2	XhXpXs	sp|P05135|SPIKE_IBV6 Spike glycoprotein
VOG05625	2	2	Xu	REFSEQ RNA-binding protein
VOG05626	2	2	XhXp	sp|P0DOE8|NS1_HRSS2 Non-structural protein 1
VOG05627	2	2	XrXs	sp|P26020|NCAP_CVBOK Nucleoprotein
VOG05628	2	2	XhXp	sp|P04543|NS2_HRSVA Non-structural protein 2
VOG05629	2	2	XhXp	sp|O55527|C_SENDO Protein C'
VOG05630	2	2	XpXrXs	sp|P03418|NCAP_HRSVA Nucleoprotein
VOG05631	2	2	Xr	sp|P88812|M22_HRSVA Matrix M2-2
VOG05632	2	2	Xs	sp|P11222|VME1_IBVB2 Membrane protein
VOG05633	2	2	Xs	sp|O42049|MATRX_HRSVB Matrix protein
VOG05634	2	2	XhXpXs	sp|O09495|GLYC_BRSVL Major surface glycoprotein G
VOG05635	2	2	XpXs	sp|O42050|M21_HRSVB Matrix M2-1
VOG05636	2	2	XrXs	sp|P03421|PHOSP_HRSVA Phosphoprotein
VOG05637	40	40	Xu	REFSEQ hypothetical protein
VOG05638	12	12	Xu	REFSEQ hypothetical protein
VOG05639	3	3	Xu	REFSEQ hypothetical protein
VOG05640	27	27	Xu	REFSEQ hypothetical protein
VOG05641	93	93	Xu	REFSEQ hypothetical protein
VOG05642	17	17	Xu	REFSEQ hypothetical protein
VOG05643	314	314	Xh	sp|P04892|ERF_BPP22 Essential recombination function protein
VOG05644	46	46	Xu	REFSEQ hypothetical protein
VOG05645	37	37	Xu	REFSEQ hypothetical protein
VOG05646	2756	1901	XhXs	sp|P18771|FIBP_BPT4 Long-tail fiber proximal subunit
VOG05647	109	109	Xu	REFSEQ hypothetical protein
VOG05648	38	38	Xu	REFSEQ hypothetical protein
VOG05649	17	17	Xu	REFSEQ hypothetical protein
VOG05650	57	57	Xu	REFSEQ hypothetical protein
VOG05651	84	84	Xu	REFSEQ hypothetical protein
VOG05652	4	4	Xu	REFSEQ hypothetical protein
VOG05653	5	5	Xu	REFSEQ hypothetical protein
VOG05654	102	102	Xu	sp|Q01436|CEF_BPT4 Protein cef
VOG05655	144	75	Xu	sp|Q01437|MOTB_BPT4 Transcription regulatory protein motB
VOG05656	22	22	Xu	REFSEQ hypothetical protein
VOG05657	35	35	Xu	REFSEQ hypothetical protein
VOG05658	5392	2308	Xu	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245
VOG05659	23	23	Xu	REFSEQ hypothetical protein
VOG05660	74	74	Xs	sp|Q7Y5B1|SOC_BPR69 Small outer capsid protein
VOG05661	223	223	Xu	sp|P39262|VG56_BPT4 dCTP pyrophosphatase
VOG05662	25	25	Xu	REFSEQ hypothetical protein
VOG05663	65	63	Xu	REFSEQ hypothetical protein
VOG05664	67	67	Xu	sp|P39228|Y01K_BPT4 Uncharacterized 5.9 kDa protein in Gp58-sp intergenic region
VOG05665	77	77	Xh	sp|P39230|SPAC_BPT4 Protein spackle
VOG05666	277	277	Xr	sp|P04527|DPA62_BPT4 Sliding-clamp-loader gp44 subunit
VOG05667	57	57	Xu	sp|P13330|Y03C_BPT4 Uncharacterized 10.3 kDa protein in Gp46-Gp47 intergenic region
VOG05668	54	54	Xu	sp|P32268|Y03B_BPT4 Uncharacterized 8.2 kDa protein in Gp46-Gp47 intergenic region
VOG05669	131	131	Xu	sp|O64300|VG452_BPR69 Protein Gp45.2
VOG05670	277	277	Xr	sp|P04525|DPA5_BPT4 DNA polymerase clamp
VOG05671	60	60	Xu	sp|P07081|Y04C_BPT4 Uncharacterized 9.2 kDa protein in Gp55-nrdG intergenic region
VOG05672	135	135	Xu	sp|P13326|Y03H_BPT4 Uncharacterized 12.4 kDa protein in mobB-Gp55 intergenic region
VOG05673	286	286	XhXr	sp|P04524|RP55_BPT4 RNA polymerase sigma factor
VOG05674	116	116	Xu	sp|P07082|Y04B_BPT4 Uncharacterized 12.7 kDa protein in Gp55-nrdG intergenic region
VOG05675	55	55	Xu	sp|P39490|Y04J_BPT4 Uncharacterized 6.2 kDa protein in pin-nrdC intergenic region
VOG05676	72	72	Xu	sp|P07079|Y04E_BPT4 Uncharacterized 11.8 kDa protein in Gp55-nrdG intergenic region
VOG05677	54	54	Xu	sp|P07078|Y04F_BPT4 Uncharacterized 7.0 kDa protein in Gp55-nrdG intergenic region
VOG05678	55	55	Xu	sp|P39259|Y05D_BPT4 Uncharacterized 20.7 kDa protein in nrdC-mobD intergenic region
VOG05679	48	48	Xu	sp|P39258|Y05C_BPT4 Uncharacterized 15.3 kDa protein in nrdC-mobD intergenic region
VOG05680	60	60	Xu	sp|P39252|Y04M_BPT4 Uncharacterized 9.4 kDa protein in nrdC-mobD intergenic region
VOG05681	54	54	Xu	sp|P39257|Y05B_BPT4 Uncharacterized 31.7 kDa protein in nrdC-mobD intergenic region
VOG05682	39	39	Xu	REFSEQ hypothetical protein
VOG05683	37	37	Xu	sp|P39236|Y05M_BPT4 Uncharacterized 7.1 kDa protein in mobD-ri intergenic region
VOG05684	122	122	XhXp	sp|P13304|ANTIH_BPT4 Antiholin
VOG05685	112	112	Xu	sp|P13310|VS_BPT4 Valyl--tRNA ligase modifier
VOG05686	228	228	Xu	sp|P13311|Y06E_BPT4 Uncharacterized 20.7 kDa protein in vs-regB intergenic region
VOG05687	93	93	Xu	sp|P13312|REGB_BPT4 Endoribonuclease RegB
VOG05688	56	56	Xu	REFSEQ hypothetical protein
VOG05689	62	61	Xu	sp|P13308|Y06C_BPT4 Uncharacterized 8.5 kDa protein in tk-vs intergenic region
VOG05690	37	37	Xu	REFSEQ hypothetical protein
VOG05691	151	150	Xh	sp|P13316|GRCA_BPT4 Autonomous glycyl radical cofactor
VOG05692	21	21	Xu	sp|P13302|IPI3_BPT4 Internal protein III
VOG05693	250	249	XpXs	sp|P15076|DNAPR_BPT4 Terminal DNA protecting protein
VOG05694	286	286	Xu	sp|P15075|VG50_BPT4 Head completion protein Gp50
VOG05695	26	26	Xu	REFSEQ hypothetical protein
VOG05696	40	40	Xu	sp|P39226|Y07A_BPT4 Uncharacterized 10.2 kDa protein in e-segB intergenic region
VOG05697	9	9	Xu	REFSEQ hypothetical protein
VOG05698	73	73	Xu	sp|P13324|Y07B_BPT4 Uncharacterized 11.2 kDa protein in segB-ipI intergenic region
VOG05699	305	305	XhXpXrXs	sp|P16009|BP5_BPT4 Baseplate central spike complex protein gp5
VOG05700	36	35	Xu	REFSEQ hypothetical protein
VOG05701	135	135	Xs	sp|P10929|BP11_BPT4 Baseplate wedge protein gp11
VOG05702	285	285	XhXs	sp|P11112|COMPL_BPT4 Tail completion protein gp15
VOG05703	113	113	Xu	sp|P39491|Y07E_BPT4 Uncharacterized 18.5 kDa protein in repEA-segC intergenic region
VOG05704	135	135	Xs	sp|P19062|BP08_BPT4 Baseplate wedge protein gp8
VOG05705	135	135	XhXs	sp|P10104|WAC_BPT4 Fibritin
VOG05706	276	276	Xs	sp|P11111|NECK2_BPT4 Neck protein gp14
VOG05707	2413	2356	XhXr	sp|P17312|TERL_BPT4 Terminase, large subunit
VOG05708	133	133	Xu	sp|Q00778|Y11A_BPT4 Uncharacterized 6.1 kDa protein in uvsW-uvsY intergenic region
VOG05709	46	46	Xu	sp|P32281|Y11B_BPT4 Uncharacterized 9.0 kDa protein in uvsW-uvsY intergenic region
VOG05710	62	62	Xu	sp|P33084|Y12E_BPT4 Uncharacterized 10.8 kDa protein in Gp30-rIII intergenic region
VOG05711	122	122	XhXs	sp|P13336|GP28_BPT4 Baseplate hub assembly protein gp28
VOG05712	72	72	Xu	sp|Q02407|Y12K_BPT4 Uncharacterized 10.8 kDa protein in Gp30-rIII intergenic region
VOG05713	123	123	XhXs	sp|P13337|TMP_BPT4 Tape measure protein
VOG05714	90	90	Xu	sp|P17310|Y13A_BPT4 Uncharacterized 11.1 kDa protein in Gp30-rIII intergenic region
VOG05715	98	98	Xu	sp|P17309|LINR3_BPT4 Lysis inhibition accessory protein
VOG05716	65	65	Xu	sp|Q02405|Y12I_BPT4 Uncharacterized 8.1 kDa protein in Gp30-rIII intergenic region
VOG05717	78	78	Xu	sp|Q00305|Y12M_BPT4 Uncharacterized 12.9 kDa protein in Gp30-rIII intergenic region
VOG05718	79	79	Xu	sp|Q02408|Y12L_BPT4 Uncharacterized 14.1 kDa protein in Gp30-rIII intergenic region
VOG05719	449	441	XhXr	sp|P16006|DCTD_BPT4 Deoxycytidylate deaminase
VOG05720	71	71	Xu	sp|P39499|Y13F_BPT4 Uncharacterized 10.1 kDa protein in cd-pseT intergenic region
VOG05721	50	50	Xu	sp|P39502|Y13I_BPT4 Uncharacterized 8.8 kDa protein in pseT-alc intergenic region
VOG05722	56	56	Xu	sp|P39500|Y13G_BPT4 Uncharacterized 7.9 kDa protein in cd-pseT intergenic region
VOG05723	47	47	Xu	sp|P39501|Y13H_BPT4 Uncharacterized 8.7 kDa protein in cd-pseT intergenic region
VOG05724	43	43	Xu	sp|P32280|Y14B_BPT4 Uncharacterized 10.1 kDa protein in nrdA-td intergenic region
VOG05725	249	249	XhXp	sp|P00971|RLIG_BPT4 RNA ligase 1
VOG05726	34	34	Xu	REFSEQ hypothetical protein
VOG05727	810	810	Xu	sp|P20321|EXRN_BPT3 Exodeoxyribonuclease
VOG05728	125	125	XhXpXs	sp|P03742|FIB35_BPT4 Long-tail fiber protein gp35
VOG05729	115	115	Xu	sp|P32267|ASIA_BPT4 10 kDa anti-sigma factor
VOG05730	67	67	Xu	sp|P22919|Y16C_BPT4 Uncharacterized 11.4 kDa protein in arn-motA intergenic region
VOG05731	28	28	Xu	sp|Q9T0T0|Y16A_BPT4 Uncharacterized 5.9 kDa protein in asiA-arn intergenic region
VOG05732	19	19	Xu	REFSEQ hypothetical protein
VOG05733	43	43	Xu	sp|P22920|Y16B_BPT4 Uncharacterized 5.2 kDa protein in arn-motA intergenic region
VOG05734	80	80	Xu	sp|P22916|Y16F_BPT4 Uncharacterized 12.8 kDa protein in arn-motA intergenic region
VOG05735	125	125	Xp	sp|P69189|NDD_BPT2 Nucleoid disruption protein
VOG05736	7	7	Xu	REFSEQ hypothetical protein
VOG05737	8	8	Xu	REFSEQ hypothetical protein
VOG05738	102	102	Xu	sp|P39250|END4_BPT4 Endonuclease IV
VOG05739	312	312	Xh	sp|A7IY64|ISAA_STAXY Probable transglycosylase IsaA
VOG05740	9	9	Xu	REFSEQ hypothetical protein
VOG05741	3	3	Xu	REFSEQ hypothetical protein
VOG05742	3	3	Xu	REFSEQ hypothetical protein
VOG05743	3	3	Xu	REFSEQ hypothetical protein
VOG05744	4	4	Xu	REFSEQ hypothetical protein
VOG05745	80	80	Xu	REFSEQ hypothetical protein
VOG05746	4	4	Xu	REFSEQ hypothetical protein
VOG05747	3	3	Xu	REFSEQ hypothetical protein
VOG05748	3	3	Xu	REFSEQ hypothetical protein
VOG05749	24	18	Xu	REFSEQ hypothetical protein
VOG05750	5	5	Xu	REFSEQ hypothetical protein
VOG05751	5	5	Xu	REFSEQ hypothetical protein
VOG05752	4	4	Xu	REFSEQ hypothetical protein
VOG05753	3	3	Xu	REFSEQ hypothetical protein
VOG05754	8	8	Xu	REFSEQ hypothetical protein
VOG05755	6	6	Xu	REFSEQ hypothetical protein
VOG05756	3	3	Xu	REFSEQ hypothetical protein
VOG05757	3	3	Xu	REFSEQ hypothetical protein
VOG05758	5	5	Xu	REFSEQ hypothetical protein
VOG05759	5	5	Xu	REFSEQ hypothetical protein
VOG05760	5	5	Xu	REFSEQ hypothetical protein
VOG05761	3	3	Xu	REFSEQ hypothetical protein
VOG05762	67	67	Xu	REFSEQ hypothetical protein
VOG05763	3	3	Xu	REFSEQ hypothetical protein
VOG05764	40	40	Xh	sp|Q9USU3|FBH1_SCHPO F-box DNA helicase protein 1
VOG05765	3	3	Xu	REFSEQ hypothetical protein
VOG05766	4	4	Xu	REFSEQ hypothetical protein
VOG05767	41	41	Xu	REFSEQ hypothetical protein
VOG05768	7	7	Xu	REFSEQ hypothetical protein
VOG05769	3	3	Xu	REFSEQ hypothetical protein
VOG05770	167	167	XhXr	sp|Q0C5A1|KPRS_HYPNA Ribose-phosphate pyrophosphokinase
VOG05771	4	4	Xu	REFSEQ hypothetical protein
VOG05772	3	3	Xu	REFSEQ hypothetical protein
VOG05773	16	16	Xu	REFSEQ hypothetical protein
VOG05774	18	18	Xu	REFSEQ hypothetical protein
VOG05775	32	32	Xu	REFSEQ hypothetical protein
VOG05776	3	3	Xu	REFSEQ hypothetical protein
VOG05777	18	18	Xu	REFSEQ hypothetical protein
VOG05778	33	33	Xu	REFSEQ hypothetical protein
VOG05779	18	18	Xu	REFSEQ hypothetical protein
VOG05780	19	19	Xu	REFSEQ hypothetical protein
VOG05781	18	18	Xu	REFSEQ hypothetical protein
VOG05782	20	20	Xu	REFSEQ hypothetical protein
VOG05783	19	19	Xu	REFSEQ hypothetical protein
VOG05784	18	18	Xu	REFSEQ hypothetical protein
VOG05785	15	15	Xu	REFSEQ hypothetical protein
VOG05786	23	23	Xu	REFSEQ hypothetical protein
VOG05787	14	14	Xu	REFSEQ hypothetical protein
VOG05788	14	14	Xu	REFSEQ hypothetical protein
VOG05789	14	14	Xu	REFSEQ hypothetical protein
VOG05790	18	18	Xu	REFSEQ hypothetical protein
VOG05791	8	8	Xu	REFSEQ hypothetical protein
VOG05792	23	23	Xu	REFSEQ hypothetical protein
VOG05793	50	50	Xs	sp|Q9XJR2|P5_BPPM2 Protein P5
VOG05794	32	32	Xu	sp|P68659|VHTJ_ECOL6 Lambda prophage-derived head-to-tail joining protein W
VOG05795	7	7	Xu	REFSEQ hypothetical protein
VOG05796	26	26	Xu	REFSEQ hypothetical protein
VOG05797	23	23	Xu	REFSEQ hypothetical protein
VOG05798	17	17	Xu	REFSEQ hypothetical protein
VOG05799	4	4	Xu	REFSEQ hypothetical protein
VOG05800	27	27	Xu	REFSEQ hypothetical protein
